adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2016-09-11,2016-09-17,2016,4972,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-37,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2016-11-27,2016-12-03,2016,8074,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-48,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2016-09-18,2016-09-24,2016,4737,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-38,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2016-09-25,2016-10-01,2016,4535,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-39,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2016-10-02,2016-10-08,2016,4561,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-40,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2017-06-11,2017-06-17,2017,8417,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-24,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2017-06-18,2017-06-24,2017,7801,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-25,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2017-06-25,2017-07-01,2017,6596,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-26,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2016-10-23,2016-10-29,2016,5643,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-43,PAHO
BRAZIL,NA,NA,BRAZIL,BRA,37,BRA,NA,2016-10-30,2016-11-05,2016,6070,Total,Admin0,Week,WHOPAHO-ALL-20142022-W01-44,PAHO
