adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1987-01-01,1987-12-31,1987,13371,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1982-01-01,1982-12-31,1982,32640,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1984-01-01,1984-12-31,1984,27637,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1985-01-01,1985-12-31,1985,13688,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1986-01-01,1986-12-31,1986,19520,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1983-01-01,1983-12-31,1983,19028,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-09-28,2003-10-04,2003,312,Confirmed,Admin0,Week,MOH-MEX-2003-W01-40,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-10-05,2003-10-11,2003,265,Confirmed,Admin0,Week,MOH-MEX-2003-W01-41,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-10-12,2003-10-18,2003,440,Confirmed,Admin0,Week,MOH-MEX-2003-W01-42,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-09-21,2003-09-27,2003,313,Confirmed,Admin0,Week,MOH-MEX-2003-W01-39,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1971-01-01,1971-12-31,1971,2,Total,Admin0,Year,TYCHO-ALL-19242017-SV_DF01-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1980-01-01,1980-12-31,1980,51046,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,1981-01-01,1981-12-31,1981,17046,Total,Admin0,Year,WHOPAHO-ALL-19802024-Y03-00,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-11-16,2003-11-22,2003,281,Confirmed,Admin0,Week,MOH-MEX-2003-W01-47,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-11-23,2003-11-29,2003,385,Confirmed,Admin0,Week,MOH-MEX-2003-W01-48,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-11-30,2003-12-06,2003,254,Confirmed,Admin0,Week,MOH-MEX-2003-W01-49,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-12-07,2003-12-13,2003,328,Confirmed,Admin0,Week,MOH-MEX-2003-W01-50,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-12-14,2003-12-20,2003,118,Confirmed,Admin0,Week,MOH-MEX-2003-W01-51,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-12-21,2003-12-27,2003,4,Confirmed,Admin0,Week,MOH-MEX-2003-W01-52,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-12-28,2004-01-03,2003,0,Confirmed,Admin0,Week,MOH-MEX-2003-W01-53,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2004-01-04,2004-01-10,2004,0,Confirmed,Admin0,Week,MOH-MEX-2004-W01-01,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2004-01-11,2004-01-17,2004,5,Confirmed,Admin0,Week,MOH-MEX-2004-W01-02,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-10-19,2003-10-25,2003,215,Confirmed,Admin0,Week,MOH-MEX-2003-W01-43,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-10-26,2003-11-01,2003,323,Confirmed,Admin0,Week,MOH-MEX-2003-W01-44,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-11-02,2003-11-08,2003,423,Confirmed,Admin0,Week,MOH-MEX-2003-W01-45,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2003-11-09,2003-11-15,2003,773,Confirmed,Admin0,Week,MOH-MEX-2003-W01-46,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2004-02-15,2004-02-21,2004,11,Confirmed,Admin0,Week,MOH-MEX-2004-W01-07,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2004-02-22,2004-02-28,2004,9,Confirmed,Admin0,Week,MOH-MEX-2004-W01-08,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2004-02-29,2004-03-06,2004,4,Confirmed,Admin0,Week,MOH-MEX-2004-W01-09,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2004-03-07,2004-03-13,2004,11,Confirmed,Admin0,Week,MOH-MEX-2004-W01-10,PAHO
MEXICO,NA,NA,MEXICO,MEX,1006344,MEX,NA,2004-03-14,2004-03-20,2004,23,Confirmed,Admin0,Week,MOH-MEX-2004-W01-11,PAHO
