start_date,dengue,sintomas_dengue,mosquito_generic,sintomas_da_dengue,a_dengue,mosquito_dengue,mosquito,dengue_hemorragica,sintomas_de_dengue,sobre_a_dengue
2014-12-28,5,8,11,8,2,5,5,0,11,0
2015-01-04,7,9,11,9,3,6,6,3,12,1
2015-01-11,7,9,10,9,4,6,6,3,13,1
2015-01-18,9,10,10,10,4,6,6,0,13,1
2015-01-25,10,15,10,15,6,7,7,6,20,2
2015-02-01,17,20,13,21,9,12,11,8,26,4
2015-02-08,23,27,17,27,13,17,16,11,30,7
2015-02-15,24,33,16,33,14,17,17,8,35,6
2015-02-22,33,38,21,40,21,25,25,16,45,12
2015-03-01,46,52,25,55,28,30,30,18,60,16
2015-03-08,50,61,27,68,33,35,39,24,73,19
2015-03-15,60,76,32,77,39,47,44,24,82,24
2015-03-22,68,89,35,87,40,50,51,33,93,24
2015-03-29,63,81,30,81,37,41,41,32,87,18
2015-04-05,57,78,24,78,39,33,33,36,82,22
2015-04-12,75,100,30,100,41,42,42,37,100,21
2015-04-19,64,88,27,87,40,34,34,35,93,18
2015-04-26,58,76,23,80,35,31,31,33,71,16
2015-05-03,59,73,24,79,37,31,31,31,72,17
2015-05-10,46,54,20,68,30,24,24,25,59,18
2015-05-17,39,50,19,60,28,22,22,19,52,21
2015-05-24,35,43,17,56,25,19,19,17,52,17
2015-05-31,25,32,14,37,18,13,13,18,34,11
2015-06-07,24,30,14,35,18,13,13,13,37,13
2015-06-14,19,24,13,28,14,10,11,11,29,10
2015-06-21,14,19,11,22,12,8,8,6,26,9
2015-06-28,11,16,9,19,8,6,6,7,21,5
2015-07-05,10,12,9,14,7,6,6,5,15,5
2015-07-12,9,13,10,14,7,6,6,6,17,4
2015-07-19,8,11,8,13,6,5,5,4,14,5
2015-07-26,8,9,10,11,6,5,5,3,14,5
2015-08-02,8,9,9,11,7,6,6,5,14,5
2015-08-09,9,9,9,11,7,6,6,4,15,6
2015-08-16,8,9,9,11,7,5,6,4,12,6
2015-08-23,8,8,9,9,8,5,5,0,10,6
2015-08-30,8,8,9,9,7,5,5,4,11,5
2015-09-06,8,8,8,9,6,5,5,0,11,6
