start_date,dengue,dengue_dengue_dengue,el_dengue,dengue_sintomas,sintomas_del_dengue,dengue_hemorragico,sintomas_de_dengue,que_es_dengue,dengue_clasico,dengue_mosquito,mosquito
2014-12-28,6,6,4,7,9,8,8,10,27,0,19
2015-01-04,7,7,7,7,6,7,10,9,34,0,23
2015-01-11,7,7,7,5,4,7,11,10,0,0,21
2015-01-18,7,7,6,6,6,8,9,8,21,11,18
2015-01-25,7,7,6,6,5,12,5,9,0,0,21
2015-02-01,7,7,6,6,7,9,8,13,0,0,20
2015-02-08,7,7,5,6,5,7,10,0,0,8,20
2015-02-15,7,7,7,6,5,6,10,10,0,8,20
2015-02-22,8,8,9,6,4,9,9,14,0,17,24
2015-03-01,11,10,16,6,7,8,9,22,36,21,30
2015-03-08,9,9,10,6,6,5,9,15,31,16,24
2015-03-15,8,8,9,6,5,10,6,13,26,10,22
2015-03-22,9,9,8,7,7,12,7,11,32,26,30
2015-03-29,7,7,5,8,6,12,8,0,35,15,34
2015-04-05,9,8,8,9,7,9,14,0,36,10,32
2015-04-12,9,9,10,7,7,11,8,11,37,20,30
2015-04-19,10,10,11,9,8,8,14,14,27,16,33
2015-04-26,9,8,8,9,8,9,11,14,32,19,33
2015-05-03,9,9,8,9,10,10,14,15,36,13,28
2015-05-10,9,9,9,8,6,8,11,10,25,9,35
2015-05-17,9,9,10,8,6,6,11,10,32,13,33
2015-05-24,9,8,9,8,8,9,9,14,25,15,34
2015-05-31,10,9,10,9,9,7,11,12,35,24,33
2015-06-07,10,10,10,8,9,10,11,13,41,17,40
2015-06-14,11,11,12,9,9,16,13,17,39,25,43
2015-06-21,12,12,11,11,11,12,17,15,46,28,48
2015-06-28,13,12,13,10,11,11,15,19,51,27,42
2015-07-05,13,13,11,13,12,17,14,10,46,31,46
2015-07-12,13,13,13,13,11,13,16,9,50,23,46
2015-07-19,14,14,14,12,11,17,15,12,58,30,50
2015-07-26,16,16,15,19,19,26,24,16,69,26,55
2015-08-02,17,17,17,18,19,21,25,15,59,31,66
2015-08-09,17,16,14,14,15,19,18,17,66,23,54
2015-08-16,17,17,17,16,18,19,22,18,81,34,54
