lag,ccf,geo,predictor,processing
0,0.8596439166720062,MX,dengue,raw
1,0.8112788925036593,MX,dengue,raw
2,0.7498328050110106,MX,dengue,raw
3,0.6896573831237417,MX,dengue,raw
4,0.6136529221249093,MX,dengue,raw
5,0.5372722150276807,MX,dengue,raw
6,0.4548661960040695,MX,dengue,raw
7,0.36934619745498376,MX,dengue,raw
8,0.2892049925668583,MX,dengue,raw
9,0.21535875290736098,MX,dengue,raw
10,0.140559855307781,MX,dengue,raw
11,0.06842580722271648,MX,dengue,raw
12,0.0031233689638890945,MX,dengue,raw
0,0.8257488469015077,MX,dengue,processed
1,0.755267128605874,MX,dengue,processed
2,0.6778459339461147,MX,dengue,processed
3,0.5963791670911307,MX,dengue,processed
4,0.5099774189408132,MX,dengue,processed
5,0.42489462193635175,MX,dengue,processed
6,0.33647851214405344,MX,dengue,processed
7,0.2526976136730207,MX,dengue,processed
8,0.17404942347042374,MX,dengue,processed
9,0.10097792595448646,MX,dengue,processed
10,0.03271603682829869,MX,dengue,processed
11,-0.028947331061853574,MX,dengue,processed
12,-0.08218068876104095,MX,dengue,processed
0,0.5935116808051185,MX,mosquito,raw
1,0.6100709857853206,MX,mosquito,raw
2,0.6249239538625065,MX,mosquito,raw
3,0.6093155995799207,MX,mosquito,raw
4,0.5871560459708813,MX,mosquito,raw
5,0.5682936235726431,MX,mosquito,raw
6,0.5284303911826171,MX,mosquito,raw
7,0.4915832349350323,MX,mosquito,raw
8,0.4665139418253937,MX,mosquito,raw
9,0.4309243670188922,MX,mosquito,raw
10,0.386773580042192,MX,mosquito,raw
11,0.3441462717362759,MX,mosquito,raw
12,0.286857690003918,MX,mosquito,raw
0,-0.03477245254518361,MX,mosquito,processed
1,0.016571638364797168,MX,mosquito,processed
2,0.07600935283894573,MX,mosquito,processed
3,0.09902706988344787,MX,mosquito,processed
4,0.11932805859852605,MX,mosquito,processed
5,0.15003216010298007,MX,mosquito,processed
6,0.16425785131051157,MX,mosquito,processed
7,0.1800563756274923,MX,mosquito,processed
8,0.21389391880925915,MX,mosquito,processed
9,0.23846567873001998,MX,mosquito,processed
10,0.25339411795969974,MX,mosquito,processed
11,0.2711396291926233,MX,mosquito,processed
12,0.26578723581924063,MX,mosquito,processed
0,0.6648520093544126,MX,sintomas_de_dengue,raw
1,0.642319058674743,MX,sintomas_de_dengue,raw
2,0.6049305988780059,MX,sintomas_de_dengue,raw
3,0.5685585531913153,MX,sintomas_de_dengue,raw
4,0.4969652909965622,MX,sintomas_de_dengue,raw
5,0.45752285216588134,MX,sintomas_de_dengue,raw
6,0.39332015434864115,MX,sintomas_de_dengue,raw
7,0.3277473831880928,MX,sintomas_de_dengue,raw
8,0.27256585999173194,MX,sintomas_de_dengue,raw
9,0.23091277922396064,MX,sintomas_de_dengue,raw
10,0.171000876509895,MX,sintomas_de_dengue,raw
11,0.13663269417877438,MX,sintomas_de_dengue,raw
12,0.1121389161744954,MX,sintomas_de_dengue,raw
0,0.17541042300526008,MX,sintomas_de_dengue,processed
1,0.21029575838531084,MX,sintomas_de_dengue,processed
2,0.24177603640389486,MX,sintomas_de_dengue,processed
3,0.24896000576471167,MX,sintomas_de_dengue,processed
4,0.22664033489029725,MX,sintomas_de_dengue,processed
5,0.2405420182763288,MX,sintomas_de_dengue,processed
6,0.226257865406371,MX,sintomas_de_dengue,processed
7,0.20250042040838745,MX,sintomas_de_dengue,processed
8,0.19127380596070545,MX,sintomas_de_dengue,processed
9,0.19467210846733454,MX,sintomas_de_dengue,processed
10,0.16215232635456706,MX,sintomas_de_dengue,processed
11,0.15377625658601238,MX,sintomas_de_dengue,processed
12,0.16666552428417697,MX,sintomas_de_dengue,processed
