predictor,processing,lag,ccf
dengue,raw,0,0.7614704971726131
dengue,raw,1,0.5204673545950826
dengue,raw,2,0.20615841676919158
dengue,raw,3,-0.02652691720902028
dengue,raw,4,-0.1663317138345089
dengue,raw,5,-0.27359317161374297
dengue,raw,6,-0.4022031476730875
dengue,raw,7,-0.5177639504021988
dengue,raw,8,-0.4696999790821312
dengue,raw,9,-0.2627742878279467
dengue,raw,10,0.07676436124841235
dengue,raw,11,0.4472206750344127
dengue,raw,12,0.6255953660534261
dengue,processed,0,0.2958317093292908
dengue,processed,1,0.0011887230959480009
dengue,processed,2,-0.238117511913156
dengue,processed,3,-0.3917630051252976
dengue,processed,4,-0.48145758973065944
dengue,processed,5,-0.5066577927943682
dengue,processed,6,-0.46813153852278194
dengue,processed,7,-0.3283838285721848
dengue,processed,8,-0.034880048449398134
dengue,processed,9,0.27360618966895894
dengue,processed,10,0.5351746914116461
dengue,processed,11,0.6623309113655328
dengue,processed,12,0.5865477370200899
mosquito,raw,0,0.4201063682640666
mosquito,raw,1,0.42501606365774014
mosquito,raw,2,0.4116934990420002
mosquito,raw,3,0.3513371096817733
mosquito,raw,4,0.1902982995239445
mosquito,raw,5,0.014257230219835954
mosquito,raw,6,-0.14989434051629252
mosquito,raw,7,-0.23680767042813733
mosquito,raw,8,-0.19149272369562964
mosquito,raw,9,-0.14211050057377042
mosquito,raw,10,-0.033702291350343305
mosquito,raw,11,0.19525606963759004
mosquito,raw,12,0.4202792821762229
mosquito,processed,0,0.278738684540279
mosquito,processed,1,0.2035631509443676
mosquito,processed,2,0.10233299498632346
mosquito,processed,3,-0.03870489003491711
mosquito,processed,4,-0.20297845372479068
mosquito,processed,5,-0.31079756493560046
mosquito,processed,6,-0.3625729603417606
mosquito,processed,7,-0.33196897834190053
mosquito,processed,8,-0.21142696896864033
mosquito,processed,9,-0.0735990542011934
mosquito,processed,10,0.08949251157611278
mosquito,processed,11,0.2490654083358512
mosquito,processed,12,0.3294814208384405
sintomas_de_dengue,raw,0,-0.101236135227952
sintomas_de_dengue,raw,1,-0.1118276080446387
sintomas_de_dengue,raw,2,-0.1228756212840401
sintomas_de_dengue,raw,3,-0.1241659347424341
sintomas_de_dengue,raw,4,-0.12438644452372044
sintomas_de_dengue,raw,5,-0.10357429602471613
sintomas_de_dengue,raw,6,-0.06682638829304234
sintomas_de_dengue,raw,7,0.03733505051412035
sintomas_de_dengue,raw,8,0.14937124377676556
sintomas_de_dengue,raw,9,0.36877166212051876
sintomas_de_dengue,raw,10,0.5041913561386273
sintomas_de_dengue,raw,11,0.22200830140518088
sintomas_de_dengue,raw,12,-0.035510213774736975
sintomas_de_dengue,processed,0,-0.08353589950691728
sintomas_de_dengue,processed,1,-0.11617650854010711
sintomas_de_dengue,processed,2,-0.15358287639828833
sintomas_de_dengue,processed,3,-0.18430692511726568
sintomas_de_dengue,processed,4,-0.215512634804991
sintomas_de_dengue,processed,5,-0.22398584230488533
sintomas_de_dengue,processed,6,-0.21097333301130022
sintomas_de_dengue,processed,7,-0.11805500225080055
sintomas_de_dengue,processed,8,-5.901965595262913e-4
sintomas_de_dengue,processed,9,0.2571505321267736
sintomas_de_dengue,processed,10,0.4596758380514242
sintomas_de_dengue,processed,11,0.2307276243652678
sintomas_de_dengue,processed,12,-0.01032200490438906
