geo,processing,model_predictor,max_lag,lag_label,metric,value
BR,raw,AR only,1,lag 1,R2,0.9712315060904937
BR,raw,AR only,1,lag 1,MAPE,13.84209739632454
BR,raw,AR only,2,lag 2,R2,0.9842245494684199
BR,raw,AR only,2,lag 2,MAPE,12.535711094059875
BR,raw,AR only,3,lag 3,R2,0.9862343062393929
BR,raw,AR only,3,lag 3,MAPE,12.461445093162682
BR,processed,AR only,1,lag 1,R2,0.9712315060904937
BR,processed,AR only,1,lag 1,MAPE,13.84209739632454
BR,processed,AR only,2,lag 2,R2,0.9842245494684199
BR,processed,AR only,2,lag 2,MAPE,12.535711094059875
BR,processed,AR only,3,lag 3,R2,0.9862343062393929
BR,processed,AR only,3,lag 3,MAPE,12.461445093162682
BR,raw,ARX + dengue,1,lag 1,R2,0.9753832130795332
BR,raw,ARX + dengue,1,lag 1,MAPE,13.838757264071633
BR,raw,ARX + dengue,2,lag 2,R2,0.9827765263272278
BR,raw,ARX + dengue,2,lag 2,MAPE,13.132369283474096
BR,raw,ARX + dengue,3,lag 3,R2,0.9857958837160383
BR,raw,ARX + dengue,3,lag 3,MAPE,12.98780284214194
BR,raw,ARX + mosquito,1,lag 1,R2,0.9715648664952048
BR,raw,ARX + mosquito,1,lag 1,MAPE,15.090546955677214
BR,raw,ARX + mosquito,2,lag 2,R2,0.9832172365676686
BR,raw,ARX + mosquito,2,lag 2,MAPE,13.310618952255876
BR,raw,ARX + mosquito,3,lag 3,R2,0.9873821414636859
BR,raw,ARX + mosquito,3,lag 3,MAPE,13.302525760183553
BR,raw,ARX + sintomas_de_dengue,1,lag 1,R2,0.9700292731010195
BR,raw,ARX + sintomas_de_dengue,1,lag 1,MAPE,20.21249126336771
BR,raw,ARX + sintomas_de_dengue,2,lag 2,R2,0.9790404607443252
BR,raw,ARX + sintomas_de_dengue,2,lag 2,MAPE,19.312287281097774
BR,raw,ARX + sintomas_de_dengue,3,lag 3,R2,0.9821268757013631
BR,raw,ARX + sintomas_de_dengue,3,lag 3,MAPE,19.778668505944264
BR,processed,ARX + dengue,1,lag 1,R2,0.9756967929359243
BR,processed,ARX + dengue,1,lag 1,MAPE,17.73215222402054
BR,processed,ARX + dengue,2,lag 2,R2,0.9825817582230576
BR,processed,ARX + dengue,2,lag 2,MAPE,18.009390275887228
BR,processed,ARX + dengue,3,lag 3,R2,0.9841774296854469
BR,processed,ARX + dengue,3,lag 3,MAPE,17.276276388001698
BR,processed,ARX + mosquito,1,lag 1,R2,0.97222417482207
BR,processed,ARX + mosquito,1,lag 1,MAPE,23.1510305744791
BR,processed,ARX + mosquito,2,lag 2,R2,0.9816339741362942
BR,processed,ARX + mosquito,2,lag 2,MAPE,22.113675018426484
BR,processed,ARX + mosquito,3,lag 3,R2,0.984580601138734
BR,processed,ARX + mosquito,3,lag 3,MAPE,19.837651481430974
BR,processed,ARX + sintomas_de_dengue,1,lag 1,R2,0.9765998588670803
BR,processed,ARX + sintomas_de_dengue,1,lag 1,MAPE,16.255371682895316
BR,processed,ARX + sintomas_de_dengue,2,lag 2,R2,0.979263396345833
BR,processed,ARX + sintomas_de_dengue,2,lag 2,MAPE,25.23323514927389
BR,processed,ARX + sintomas_de_dengue,3,lag 3,R2,0.981417994672893
BR,processed,ARX + sintomas_de_dengue,3,lag 3,MAPE,26.53889120457091
