geo,predictor,processing,model,max_lag,set,intercept,correlation,R2,MAPE
BR,dengue,raw,ar,1,train,22689.555652266252,0.9784474150979452,0.9573304962851624,15.126975735302036
BR,dengue,raw,ar,1,test,NA,0.9855794941301395,0.9712315060904937,13.84209739632454
BR,dengue,raw,arx,1,train,15970.896563553137,0.9813553170748428,0.9630523060463346,15.254381024597901
BR,dengue,raw,arx,1,test,NA,0.9877702538398703,0.9753832130795332,13.838757264071633
BR,dengue,raw,ar,2,train,25019.201433447794,0.9821839386922007,0.964671582872938,13.75953314261259
BR,dengue,raw,ar,2,test,NA,0.992222219639922,0.9842245494684199,12.535711094059875
BR,dengue,raw,arx,2,train,17818.824085019256,0.9831345861849531,0.966550524879304,14.457142817205343
BR,dengue,raw,arx,2,test,NA,0.9916095061856888,0.9827765263272278,13.132369283474096
BR,dengue,raw,ar,3,train,25797.6111874383,0.9832195120538807,0.9667125239398048,13.859719493491921
BR,dengue,raw,ar,3,test,NA,0.9932201566609857,0.9862343062393929,12.461445093162682
BR,dengue,raw,arx,3,train,27242.397177076127,0.9836032429845794,0.9674621189166253,14.7000883720813
BR,dengue,raw,arx,3,test,NA,0.9929924881182615,0.9857958837160383,12.98780284214194
BR,mosquito,raw,ar,1,train,22689.555652266252,0.9784474150979452,0.9573304962851624,15.126975735302036
BR,mosquito,raw,ar,1,test,NA,0.9855794941301395,0.9712315060904937,13.84209739632454
BR,mosquito,raw,arx,1,train,19951.641196457018,0.9796885721926285,0.9597751774540556,15.663904476263344
BR,mosquito,raw,arx,1,test,NA,0.9858189133961882,0.9715648664952048,15.090546955677214
BR,mosquito,raw,ar,2,train,25019.201433447794,0.9821839386922007,0.964671582872938,13.75953314261259
BR,mosquito,raw,ar,2,test,NA,0.992222219639922,0.9842245494684199,12.535711094059875
BR,mosquito,raw,arx,2,train,23592.828737448173,0.9824894671799635,0.9652714773568848,14.31451370924291
BR,mosquito,raw,arx,2,test,NA,0.9917708497389374,0.9832172365676686,13.310618952255876
BR,mosquito,raw,ar,3,train,25797.6111874383,0.9832195120538807,0.9667125239398048,13.859719493491921
BR,mosquito,raw,ar,3,test,NA,0.9932201566609857,0.9862343062393929,12.461445093162682
BR,mosquito,raw,arx,3,train,32088.97653776356,0.983828050332091,0.9679141931726236,14.914671480461388
BR,mosquito,raw,arx,3,test,NA,0.993717754539444,0.9873821414636859,13.302525760183553
BR,sintomas_de_dengue,raw,ar,1,train,22689.555652266252,0.9784474150979452,0.9573304962851624,15.126975735302036
BR,sintomas_de_dengue,raw,ar,1,test,NA,0.9855794941301395,0.9712315060904937,13.84209739632454
BR,sintomas_de_dengue,raw,arx,1,train,16128.160223795145,0.9825786814309552,0.9654472658267296,15.95328152655233
BR,sintomas_de_dengue,raw,arx,1,test,NA,0.9849277431316811,0.9700292731010195,20.21249126336771
BR,sintomas_de_dengue,raw,ar,2,train,25019.201433447794,0.9821839386922007,0.964671582872938,13.75953314261259
BR,sintomas_de_dengue,raw,ar,2,test,NA,0.992222219639922,0.9842245494684199,12.535711094059875
BR,sintomas_de_dengue,raw,arx,2,train,15031.007412217212,0.9848910324859478,0.9700099123849768,15.300469726663096
BR,sintomas_de_dengue,raw,arx,2,test,NA,0.9895673421125076,0.9790404607443252,19.312287281097774
BR,sintomas_de_dengue,raw,ar,3,train,25797.6111874383,0.9832195120538807,0.9667125239398048,13.859719493491921
BR,sintomas_de_dengue,raw,ar,3,test,NA,0.9932201566609857,0.9862343062393929,12.461445093162682
BR,sintomas_de_dengue,raw,arx,3,train,11206.152011391214,0.9864822509689818,0.9731414488535975,15.767063335295397
BR,sintomas_de_dengue,raw,arx,3,test,NA,0.9911731417809142,0.9821268757013631,19.778668505944264
BR,dengue,processed,ar,1,train,22689.555652266252,0.9784474150979452,0.9573304962851624,15.126975735302036
BR,dengue,processed,ar,1,test,NA,0.9855794941301395,0.9712315060904937,13.84209739632454
BR,dengue,processed,arx,1,train,26682.07112205181,0.9817088141132531,0.9632617635612359,16.480410370432395
BR,dengue,processed,arx,1,test,NA,0.9879649336129221,0.9756967929359243,17.73215222402054
BR,dengue,processed,ar,2,train,25019.201433447794,0.9821839386922007,0.964671582872938,13.75953314261259
BR,dengue,processed,ar,2,test,NA,0.992222219639922,0.9842245494684199,12.535711094059875
BR,dengue,processed,arx,2,train,27554.905150148235,0.9834410182390956,0.9670665116360894,15.741549752446646
BR,dengue,processed,arx,2,test,NA,0.9915124384023775,0.9825817582230576,18.009390275887228
BR,dengue,processed,ar,3,train,25797.6111874383,0.9832195120538807,0.9667125239398048,13.859719493491921
BR,dengue,processed,ar,3,test,NA,0.9932201566609857,0.9862343062393929,12.461445093162682
BR,dengue,processed,arx,3,train,27762.61085183036,0.9836794101488648,0.9675855554696369,15.463068430760583
BR,dengue,processed,arx,3,test,NA,0.9922856422684225,0.9841774296854469,17.276276388001698
BR,mosquito,processed,ar,1,train,22689.555652266252,0.9784474150979452,0.9573304962851624,15.126975735302036
BR,mosquito,processed,ar,1,test,NA,0.9855794941301395,0.9712315060904937,13.84209739632454
BR,mosquito,processed,arx,1,train,25316.23131358848,0.9809826403756692,0.9622531164401575,16.185768640535674
BR,mosquito,processed,arx,1,test,NA,0.9866080804068615,0.97222417482207,23.1510305744791
BR,mosquito,processed,ar,2,train,25019.201433447794,0.9821839386922007,0.964671582872938,13.75953314261259
BR,mosquito,processed,ar,2,test,NA,0.992222219639922,0.9842245494684199,12.535711094059875
BR,mosquito,processed,arx,2,train,26940.878679055608,0.9829996310728679,0.9662779869675311,15.580685258078619
BR,mosquito,processed,arx,2,test,NA,0.9914509718945154,0.9816339741362942,22.113675018426484
BR,mosquito,processed,ar,3,train,25797.6111874383,0.9832195120538807,0.9667125239398048,13.859719493491921
BR,mosquito,processed,ar,3,test,NA,0.9932201566609857,0.9862343062393929,12.461445093162682
BR,mosquito,processed,arx,3,train,28032.37350621687,0.9835789853633239,0.9674136451938614,15.6420573314433
BR,mosquito,processed,arx,3,test,NA,0.9927262839420637,0.984580601138734,19.837651481430974
BR,sintomas_de_dengue,processed,ar,1,train,22689.555652266252,0.9784474150979452,0.9573304962851624,15.126975735302036
BR,sintomas_de_dengue,processed,ar,1,test,NA,0.9855794941301395,0.9712315060904937,13.84209739632454
BR,sintomas_de_dengue,processed,arx,1,train,27574.31003536139,0.984303439052841,0.9665151314508473,15.68417329789915
BR,sintomas_de_dengue,processed,arx,1,test,NA,0.9887434276677515,0.9765998588670803,16.255371682895316
BR,sintomas_de_dengue,processed,ar,2,train,25019.201433447794,0.9821839386922007,0.964671582872938,13.75953314261259
BR,sintomas_de_dengue,processed,ar,2,test,NA,0.992222219639922,0.9842245494684199,12.535711094059875
BR,sintomas_de_dengue,processed,arx,2,train,27458.267269541364,0.9850918384285285,0.9701927320773382,16.539439986747904
BR,sintomas_de_dengue,processed,arx,2,test,NA,0.9905357109066517,0.979263396345833,25.23323514927389
BR,sintomas_de_dengue,processed,ar,3,train,25797.6111874383,0.9832195120538807,0.9667125239398048,13.859719493491921
BR,sintomas_de_dengue,processed,ar,3,test,NA,0.9932201566609857,0.9862343062393929,12.461445093162682
BR,sintomas_de_dengue,processed,arx,3,train,27837.79997996069,0.9859634294860623,0.9720556764752887,17.43416973970983
BR,sintomas_de_dengue,processed,arx,3,test,NA,0.9915617330082561,0.981417994672893,26.53889120457091
