predictor,processing,model,max_lag,set,intercept,correlation,R2,MAPE
dengue,raw,ar,1,train,1521.6772790629682,0.8030381199947032,0.6435883720850769,143.57938670478373
dengue,raw,ar,1,test,NA,0.827802461572119,0.6720187327749151,47.78353490682373
dengue,raw,arx,1,train,757.7533168577021,0.7800503444585319,0.5230110282127678,283.9025556046912
dengue,raw,arx,1,test,NA,0.7987217862441707,0.634860278199649,62.7671697532301
dengue,raw,ar,2,train,1494.5274483214346,0.9011341607283465,0.8117954397671302,141.01645658276684
dengue,raw,ar,2,test,NA,0.9041033694680817,0.7848554637046985,49.16245689010111
dengue,raw,arx,2,train,2170.8911475028085,0.8962669676943009,0.7648012709238565,120.91037978216717
dengue,raw,arx,2,test,NA,0.89840173484866,0.7405385709941309,62.04724304605504
dengue,raw,ar,3,train,1509.7705053275874,0.9001992260328829,0.8099383523433781,115.59780029500327
dengue,raw,ar,3,test,NA,0.9067914672557614,0.7949326601180176,47.86516521450782
dengue,raw,arx,3,train,3225.0295263905473,0.8584966642735482,0.49201030901913756,143.0382511004371
dengue,raw,arx,3,test,NA,0.8638178717632947,0.5812689430916373,100.55574353824615
mosquito,raw,ar,1,train,1521.6772790629682,0.8030381199947032,0.6435883720850769,143.57938670478373
mosquito,raw,ar,1,test,NA,0.827802461572119,0.6720187327749151,47.78353490682373
mosquito,raw,arx,1,train,1197.767260915776,0.8088515315989186,0.6408156246795689,188.48658692900847
mosquito,raw,arx,1,test,NA,0.8247073675987919,0.6753485732319433,58.49297696743797
mosquito,raw,ar,2,train,1494.5274483214346,0.9011341607283465,0.8117954397671302,141.01645658276684
mosquito,raw,ar,2,test,NA,0.9041033694680817,0.7848554637046985,49.16245689010111
mosquito,raw,arx,2,train,2569.9252513056435,0.8695521729790774,0.6557927291533783,178.66079426110545
mosquito,raw,arx,2,test,NA,0.9032380145141542,0.7184907367621214,80.95834708023798
mosquito,raw,ar,3,train,1509.7705053275874,0.9001992260328829,0.8099383523433781,115.59780029500327
mosquito,raw,ar,3,test,NA,0.9067914672557614,0.7949326601180176,47.86516521450782
mosquito,raw,arx,3,train,914.5026319347537,0.902193066172563,0.7558258543580397,183.85022228232316
mosquito,raw,arx,3,test,NA,0.9076924511448303,0.8185803339082055,56.155070966665
sintomas_de_dengue,raw,ar,1,train,1521.6772790629682,0.8030381199947032,0.6435883720850769,143.57938670478373
sintomas_de_dengue,raw,ar,1,test,NA,0.827802461572119,0.6720187327749151,47.78353490682373
sintomas_de_dengue,raw,arx,1,train,1553.9989857704563,0.803138415891184,0.6438709866344682,146.9109584395387
sintomas_de_dengue,raw,arx,1,test,NA,0.828383345641138,0.6719319973189057,47.69751422189971
sintomas_de_dengue,raw,ar,2,train,1494.5274483214346,0.9011341607283465,0.8117954397671302,141.01645658276684
sintomas_de_dengue,raw,ar,2,test,NA,0.9041033694680817,0.7848554637046985,49.16245689010111
sintomas_de_dengue,raw,arx,2,train,1557.1081429141684,0.9019673487258875,0.8128397859793393,149.1710946382331
sintomas_de_dengue,raw,arx,2,test,NA,0.9029488793178252,0.7967311017816996,50.3206180095734
sintomas_de_dengue,raw,ar,3,train,1509.7705053275874,0.9001992260328829,0.8099383523433781,115.59780029500327
sintomas_de_dengue,raw,ar,3,test,NA,0.9067914672557614,0.7949326601180176,47.86516521450782
sintomas_de_dengue,raw,arx,3,train,1586.105905998093,0.8980162898640202,0.8055367232672132,134.39701508610142
sintomas_de_dengue,raw,arx,3,test,NA,0.9027896943733188,0.8059571570505253,51.77340807104783
dengue,processed,ar,1,train,1521.6772790629682,0.8030381199947032,0.6435883720850769,143.57938670478373
dengue,processed,ar,1,test,NA,0.827802461572119,0.6720187327749151,47.78353490682373
dengue,processed,arx,1,train,1515.8413256876029,0.832511464834745,0.6886441652431445,209.97178417549205
dengue,processed,arx,1,test,NA,0.8521840374021017,0.7042923614037893,55.69431117971079
dengue,processed,ar,2,train,1494.5274483214346,0.9011341607283465,0.8117954397671302,141.01645658276684
dengue,processed,ar,2,test,NA,0.9041033694680817,0.7848554637046985,49.16245689010111
dengue,processed,arx,2,train,1617.1586167989615,0.8603631655363759,0.7242283894154531,332.17383122847724
dengue,processed,arx,2,test,NA,0.8481702644425549,0.6711703932811449,106.89311982300842
dengue,processed,ar,3,train,1509.7705053275874,0.9001992260328829,0.8099383523433781,115.59780029500327
dengue,processed,ar,3,test,NA,0.9067914672557614,0.7949326601180176,47.86516521450782
dengue,processed,arx,3,train,1699.0794645402723,0.8117629950211938,0.5674539632163849,358.4135623434116
dengue,processed,arx,3,test,NA,0.7646786457170194,0.453649884077174,154.12720250039814
