geo,model,predictor,processing,max_lag,prediction_lead,n_origins,R2,MAPE
MX,ar,NA,processed,1,1,149,0.9666180960766655,27.36165388244433
MX,ar,NA,processed,1,2,149,0.9073538269185225,44.77942870495541
MX,ar,NA,processed,1,3,149,0.7924216285211438,66.89345660278376
MX,ar,NA,processed,1,4,149,0.6450095682089817,89.39172840771184
MX,ar,NA,processed,1,5,149,0.4698404729854334,114.08255380560936
MX,ar,NA,processed,1,6,149,0.27556379604200765,135.69763042361114
MX,ar,NA,processed,1,7,149,0.049971061553162444,170.1004026147109
MX,ar,NA,processed,1,8,149,-0.2008738697197192,194.15361993809512
MX,ar,NA,processed,2,1,149,0.9654561703186247,27.53399260478905
MX,ar,NA,processed,2,2,149,0.9050713464531462,43.85665783144957
MX,ar,NA,processed,2,3,149,0.7885271843956047,64.93435815809556
MX,ar,NA,processed,2,4,149,0.6388474662300168,86.37425276713255
MX,ar,NA,processed,2,5,149,0.46105448978846186,110.22755581805836
MX,ar,NA,processed,2,6,149,0.2644190424221725,133.27368266525957
MX,ar,NA,processed,2,7,149,0.036341011432091785,167.4595371830874
MX,ar,NA,processed,2,8,149,-0.21656514889220202,191.41015472103066
MX,ar,NA,processed,3,1,149,0.9709860878767138,25.152576347916632
MX,ar,NA,processed,3,2,149,0.929116585011129,39.50704786903758
MX,ar,NA,processed,3,3,149,0.8389652252718942,60.80710467382674
MX,ar,NA,processed,3,4,149,0.7153454854360644,83.42347920918766
MX,ar,NA,processed,3,5,149,0.5660150810210096,105.05990614586716
MX,ar,NA,processed,3,6,149,0.40608404567330714,127.51213270062323
MX,ar,NA,processed,3,7,149,0.21802304163027897,165.92425378244332
MX,ar,NA,processed,3,8,149,0.024951741882043632,185.51991796415678
MX,ar,NA,raw,1,1,149,0.9666180960766655,27.36165388244433
MX,ar,NA,raw,1,2,149,0.9073538269185225,44.77942870495541
MX,ar,NA,raw,1,3,149,0.7924216285211438,66.89345660278376
MX,ar,NA,raw,1,4,149,0.6450095682089817,89.39172840771184
MX,ar,NA,raw,1,5,149,0.4698404729854334,114.08255380560936
MX,ar,NA,raw,1,6,149,0.27556379604200765,135.69763042361114
MX,ar,NA,raw,1,7,149,0.049971061553162444,170.1004026147109
MX,ar,NA,raw,1,8,149,-0.2008738697197192,194.15361993809512
MX,ar,NA,raw,2,1,149,0.9654561703186247,27.53399260478905
MX,ar,NA,raw,2,2,149,0.9050713464531462,43.85665783144957
MX,ar,NA,raw,2,3,149,0.7885271843956047,64.93435815809556
MX,ar,NA,raw,2,4,149,0.6388474662300168,86.37425276713255
MX,ar,NA,raw,2,5,149,0.46105448978846186,110.22755581805836
MX,ar,NA,raw,2,6,149,0.2644190424221725,133.27368266525957
MX,ar,NA,raw,2,7,149,0.036341011432091785,167.4595371830874
MX,ar,NA,raw,2,8,149,-0.21656514889220202,191.41015472103066
MX,ar,NA,raw,3,1,149,0.9709860878767138,25.152576347916632
MX,ar,NA,raw,3,2,149,0.929116585011129,39.50704786903758
MX,ar,NA,raw,3,3,149,0.8389652252718942,60.80710467382674
MX,ar,NA,raw,3,4,149,0.7153454854360644,83.42347920918766
MX,ar,NA,raw,3,5,149,0.5660150810210096,105.05990614586716
MX,ar,NA,raw,3,6,149,0.40608404567330714,127.51213270062323
MX,ar,NA,raw,3,7,149,0.21802304163027897,165.92425378244332
MX,ar,NA,raw,3,8,149,0.024951741882043632,185.51991796415678
MX,arx,dengue,processed,1,1,149,0.9671705701195292,28.178404660752694
MX,arx,dengue,processed,1,2,149,0.9148324302871441,45.192469627663506
MX,arx,dengue,processed,1,3,149,0.8081441642122787,66.99584064385907
MX,arx,dengue,processed,1,4,149,0.6742306603287178,88.85931596218133
MX,arx,dengue,processed,1,5,149,0.5126094437221358,113.37907401900608
MX,arx,dengue,processed,1,6,149,0.3378308361438439,134.4490252897334
MX,arx,dengue,processed,1,7,149,0.13848425518649266,168.59292086358636
MX,arx,dengue,processed,1,8,149,-0.08340251526060705,191.83737109943007
MX,arx,dengue,processed,2,1,149,0.9690486326186202,30.557477505809572
MX,arx,dengue,processed,2,2,149,0.9287336519490325,45.64815011095701
MX,arx,dengue,processed,2,3,149,0.8537835344632422,65.23549619035212
MX,arx,dengue,processed,2,4,149,0.7591268468479128,85.58097082817392
MX,arx,dengue,processed,2,5,149,0.6528253394939191,107.63759038547758
MX,arx,dengue,processed,2,6,149,0.5414865538452369,129.25639246243446
MX,arx,dengue,processed,2,7,149,0.40427012849133814,161.62419390479388
MX,arx,dengue,processed,2,8,149,0.24057482077350467,183.2812079789686
MX,arx,dengue,processed,3,1,149,0.9696657996095176,29.473714892951445
MX,arx,dengue,processed,3,2,149,0.9362666600493226,42.99921201355203
MX,arx,dengue,processed,3,3,149,0.8642729719064366,65.68361637697389
MX,arx,dengue,processed,3,4,149,0.7740068286002431,86.40940441091416
MX,arx,dengue,processed,3,5,149,0.6659346740024221,108.16340324083542
MX,arx,dengue,processed,3,6,149,0.5543131381216938,130.9889555503756
MX,arx,dengue,processed,3,7,149,0.42163376530211794,169.1455479361787
MX,arx,dengue,processed,3,8,149,0.2750140995472016,187.63352151767225
MX,arx,dengue,raw,1,1,149,0.9685536647201647,28.32471316529067
MX,arx,dengue,raw,1,2,149,0.9284302349216577,44.0867254731739
MX,arx,dengue,raw,1,3,149,0.8457502981824863,64.02360553694488
MX,arx,dengue,raw,1,4,149,0.7451426239669465,84.7461117728435
MX,arx,dengue,raw,1,5,149,0.6265787652490342,108.01820342630728
MX,arx,dengue,raw,1,6,149,0.5050292277832504,127.54749634907121
MX,arx,dengue,raw,1,7,149,0.364648994355381,160.02825322716888
MX,arx,dengue,raw,1,8,149,0.20642357693435087,181.2309256956475
MX,arx,dengue,raw,2,1,149,0.9721391032710722,29.837746151909343
MX,arx,dengue,raw,2,2,149,0.9491529374682157,41.91954279677723
MX,arx,dengue,raw,2,3,149,0.9058461782612715,57.683187338194756
MX,arx,dengue,raw,2,4,149,0.8571559320294124,75.41652956935731
MX,arx,dengue,raw,2,5,149,0.8076859357757904,94.83796659207111
MX,arx,dengue,raw,2,6,149,0.7582818277214495,113.13462205323796
MX,arx,dengue,raw,2,7,149,0.6906405332937567,141.21864649582153
MX,arx,dengue,raw,2,8,149,0.614882564329272,159.1025121226745
MX,arx,dengue,raw,3,1,149,0.969419156085899,30.185517368267366
MX,arx,dengue,raw,3,2,149,0.9464522990023034,42.11612952908307
MX,arx,dengue,raw,3,3,149,0.8944999576367659,62.88924614899555
MX,arx,dengue,raw,3,4,149,0.841520276706452,81.69264119673765
MX,arx,dengue,raw,3,5,149,0.7801527974486112,101.42505857619328
MX,arx,dengue,raw,3,6,149,0.7227280421921878,122.42025091877575
MX,arx,dengue,raw,3,7,149,0.6467949708959012,156.5660135470182
MX,arx,dengue,raw,3,8,149,0.5689039030305498,172.49893666639946
MX,arx,mosquito,processed,1,1,149,0.9668805234181836,26.773979538463617
MX,arx,mosquito,processed,1,2,149,0.9067957451168788,43.78222943211495
MX,arx,mosquito,processed,1,3,149,0.7927878657452038,65.66680094971066
MX,arx,mosquito,processed,1,4,149,0.6447606529983123,87.68252271750741
MX,arx,mosquito,processed,1,5,149,0.46920659924532415,111.9339748843539
MX,arx,mosquito,processed,1,6,149,0.2743835558483859,133.55270852714963
MX,arx,mosquito,processed,1,7,149,0.04854018687630879,167.999835061552
MX,arx,mosquito,processed,1,8,149,-0.20482075250495857,191.79164481647447
