geo,origin_week,model,predictor,processing,max_lag,train_n,n_leads,R2,MAPE
MX,2016-12-25,ar,NA,processed,1,104,8,-14.03629946099479,107.99024403866926
MX,2016-12-25,ar,NA,processed,2,104,8,-7.1830194302913295,83.90530692847305
MX,2016-12-25,ar,NA,processed,3,104,8,-11.104450073459638,93.10989587972725
MX,2016-12-25,ar,NA,raw,1,104,8,-14.03629946099479,107.99024403866926
MX,2016-12-25,ar,NA,raw,2,104,8,-7.1830194302913295,83.90530692847305
MX,2016-12-25,ar,NA,raw,3,104,8,-11.104450073459638,93.10989587972725
MX,2016-12-25,arx,dengue,processed,1,104,8,-15.812415525928046,113.25375689642783
MX,2016-12-25,arx,dengue,processed,2,104,8,-12.268926757532636,103.8583752680749
MX,2016-12-25,arx,dengue,processed,3,104,8,-12.921048934983007,86.54313141133049
MX,2016-12-25,arx,dengue,raw,1,104,8,-13.436327461816287,104.17097204538021
MX,2016-12-25,arx,dengue,raw,2,104,8,-4.741034194901624,67.29118487042518
MX,2016-12-25,arx,dengue,raw,3,104,8,-8.569524228267989,69.65270284236168
MX,2016-12-25,arx,mosquito,processed,1,104,8,-11.641499296742248,99.65462132390739
MX,2016-12-25,arx,mosquito,processed,2,104,8,-7.500502119089424,88.11579471673303
MX,2016-12-25,arx,mosquito,processed,3,104,8,-18.95126424364523,119.44401188357767
MX,2016-12-25,arx,mosquito,raw,1,104,8,-12.571869117091117,103.70274460293096
MX,2016-12-25,arx,mosquito,raw,2,104,8,-5.982060527319491,82.08419223122306
MX,2016-12-25,arx,mosquito,raw,3,104,8,-15.018956969094855,110.49589507412216
MX,2016-12-25,arx,sintomas_de_dengue,processed,1,104,8,-7.7509834978518075,83.65808645479629
MX,2016-12-25,arx,sintomas_de_dengue,processed,2,104,8,-10.922367907009333,95.30966235277967
MX,2016-12-25,arx,sintomas_de_dengue,processed,3,104,8,-22.6715835636227,124.33325768371199
MX,2016-12-25,arx,sintomas_de_dengue,raw,1,104,8,-12.92423154173708,105.01385004807086
MX,2016-12-25,arx,sintomas_de_dengue,raw,2,104,8,-2.1047388468176833,52.05234638480011
MX,2016-12-25,arx,sintomas_de_dengue,raw,3,104,8,-5.863746543327819,71.3834901537844
MX,2017-01-01,ar,NA,processed,1,105,8,-25.18238772163761,51.251137460458466
MX,2017-01-01,ar,NA,processed,2,105,8,-9.733715032873937,33.5412528460201
MX,2017-01-01,ar,NA,processed,3,105,8,-22.94114894870835,48.78984372801957
MX,2017-01-01,ar,NA,raw,1,105,8,-25.18238772163761,51.251137460458466
MX,2017-01-01,ar,NA,raw,2,105,8,-9.733715032873937,33.5412528460201
MX,2017-01-01,ar,NA,raw,3,105,8,-22.94114894870835,48.78984372801957
MX,2017-01-01,arx,dengue,processed,1,105,8,-29.132329133136164,53.848578860562824
MX,2017-01-01,arx,dengue,processed,2,105,8,-18.31181557248272,42.484444831353734
MX,2017-01-01,arx,dengue,processed,3,105,8,-49.97236548110781,69.01707868569817
MX,2017-01-01,arx,dengue,raw,1,105,8,-29.72138494737635,54.176764717227044
MX,2017-01-01,arx,dengue,raw,2,105,8,-9.123901283475444,32.23302358187532
MX,2017-01-01,arx,dengue,raw,3,105,8,-39.0310225814711,61.561323343529786
MX,2017-01-01,arx,mosquito,processed,1,105,8,-19.459384787779946,46.10895053990674
MX,2017-01-01,arx,mosquito,processed,2,105,8,-6.9640465391435145,28.149095778420612
MX,2017-01-01,arx,mosquito,processed,3,105,8,-34.844712674175234,58.056872044944754
MX,2017-01-01,arx,mosquito,raw,1,105,8,-20.287158076266362,46.83165545769507
MX,2017-01-01,arx,mosquito,raw,2,105,8,-6.172091732113797,24.223305396775896
MX,2017-01-01,arx,mosquito,raw,3,105,8,-27.515028267870214,51.6267992929762
MX,2017-01-01,arx,sintomas_de_dengue,processed,1,105,8,-13.901361478978691,38.95919726096157
MX,2017-01-01,arx,sintomas_de_dengue,processed,2,105,8,-21.466843121954724,46.50744671194216
MX,2017-01-01,arx,sintomas_de_dengue,processed,3,105,8,-63.209107973812195,74.99940852379818
MX,2017-01-01,arx,sintomas_de_dengue,raw,1,105,8,-21.939811942327797,48.66951636998634
MX,2017-01-01,arx,sintomas_de_dengue,raw,2,105,8,-5.144165762949438,22.432468359437983
MX,2017-01-01,arx,sintomas_de_dengue,raw,3,105,8,-13.53934608574008,38.09530627442006
MX,2017-01-08,ar,NA,processed,1,106,8,-51.92917712253823,80.32967808391399
MX,2017-01-08,ar,NA,processed,2,106,8,-20.37473109233887,51.32666601381587
MX,2017-01-08,ar,NA,processed,3,106,8,-56.91996338210715,83.98230687610848
MX,2017-01-08,ar,NA,raw,1,106,8,-51.92917712253823,80.32967808391399
MX,2017-01-08,ar,NA,raw,2,106,8,-20.37473109233887,51.32666601381587
MX,2017-01-08,ar,NA,raw,3,106,8,-56.91996338210715,83.98230687610848
MX,2017-01-08,arx,dengue,processed,1,106,8,-63.52181830327024,89.95940768364443
MX,2017-01-08,arx,dengue,processed,2,106,8,-31.070109412939452,64.04432716953
MX,2017-01-08,arx,dengue,processed,3,106,8,-91.03657849544491,101.93656172274555
MX,2017-01-08,arx,dengue,raw,1,106,8,-57.69950339873378,85.77156777488835
MX,2017-01-08,arx,dengue,raw,2,106,8,-20.95042397957871,51.81553615510827
MX,2017-01-08,arx,dengue,raw,3,106,8,-66.07876013395833,88.35789347085034
MX,2017-01-08,arx,mosquito,processed,1,106,8,-43.93810509018881,73.94628088628184
MX,2017-01-08,arx,mosquito,processed,2,106,8,-13.648705141333542,42.570512804063995
MX,2017-01-08,arx,mosquito,processed,3,106,8,-69.5461308158764,92.11068743133303
MX,2017-01-08,arx,mosquito,raw,1,106,8,-45.94934579376752,75.14634521300553
MX,2017-01-08,arx,mosquito,raw,2,106,8,-12.28833764143506,40.14264812606695
MX,2017-01-08,arx,mosquito,raw,3,106,8,-49.2355130592651,77.10209449296606
MX,2017-01-08,arx,sintomas_de_dengue,processed,1,106,8,-33.61530665326584,65.2896058281082
MX,2017-01-08,arx,sintomas_de_dengue,processed,2,106,8,-31.057981072844562,61.90801679480297
MX,2017-01-08,arx,sintomas_de_dengue,processed,3,106,8,-92.79469346149882,105.77594666902345
MX,2017-01-08,arx,sintomas_de_dengue,raw,1,106,8,-46.189799693255694,75.56965103777625
MX,2017-01-08,arx,sintomas_de_dengue,raw,2,106,8,-5.730058275340582,30.44019440961098
MX,2017-01-08,arx,sintomas_de_dengue,raw,3,106,8,-26.098236941941913,56.483481492199914
MX,2017-01-15,ar,NA,processed,1,107,8,-66.12138749962949,93.39452126546155
MX,2017-01-15,ar,NA,processed,2,107,8,-36.0709500505907,70.09142241392253
MX,2017-01-15,ar,NA,processed,3,107,8,-92.4050535374174,110.98570985786978
MX,2017-01-15,ar,NA,raw,1,107,8,-66.12138749962949,93.39452126546155
MX,2017-01-15,ar,NA,raw,2,107,8,-36.0709500505907,70.09142241392253
MX,2017-01-15,ar,NA,raw,3,107,8,-92.4050535374174,110.98570985786978
MX,2017-01-15,arx,dengue,processed,1,107,8,-68.72192235070013,95.01926100677622
MX,2017-01-15,arx,dengue,processed,2,107,8,-35.1335055544328,68.81217880906631
MX,2017-01-15,arx,dengue,processed,3,107,8,-143.77697150515183,133.05072438903696
MX,2017-01-15,arx,dengue,raw,1,107,8,-68.36041818767075,94.33467504729276
MX,2017-01-15,arx,dengue,raw,2,107,8,-31.523512544502083,64.48799290366838
MX,2017-01-15,arx,dengue,raw,3,107,8,-118.2600059596942,122.4569736697207
MX,2017-01-15,arx,mosquito,processed,1,107,8,-57.88138068331271,87.8445645309744
MX,2017-01-15,arx,mosquito,processed,2,107,8,-28.572898936924716,62.769889411854926
MX,2017-01-15,arx,mosquito,processed,3,107,8,-117.66431275122956,124.05083294229729
MX,2017-01-15,arx,mosquito,raw,1,107,8,-63.58665051927211,91.27434376785442
MX,2017-01-15,arx,mosquito,raw,2,107,8,-28.287172691390726,61.02982047357985
MX,2017-01-15,arx,mosquito,raw,3,107,8,-90.77294570723527,108.28234247404612
MX,2017-01-15,arx,sintomas_de_dengue,processed,1,107,8,-42.17230205630482,74.95746500003368
MX,2017-01-15,arx,sintomas_de_dengue,processed,2,107,8,-47.73390890601506,78.17761301799703
MX,2017-01-15,arx,sintomas_de_dengue,processed,3,107,8,-132.54911146727213,130.4687099470562
MX,2017-01-15,arx,sintomas_de_dengue,raw,1,107,8,-63.922679547151546,91.95292968646797
MX,2017-01-15,arx,sintomas_de_dengue,raw,2,107,8,-19.153670603363953,49.60840009667312
MX,2017-01-15,arx,sintomas_de_dengue,raw,3,107,8,-49.67672918826922,80.51792858361189
MX,2017-01-22,ar,NA,processed,1,108,8,-65.12426129575114,89.62885492554614
MX,2017-01-22,ar,NA,processed,2,108,8,-37.36924121619465,69.53751484761797
MX,2017-01-22,ar,NA,processed,3,108,8,-73.04807335630721,94.55279109985833
MX,2017-01-22,ar,NA,raw,1,108,8,-65.12426129575114,89.62885492554614
MX,2017-01-22,ar,NA,raw,2,108,8,-37.36924121619465,69.53751484761797
MX,2017-01-22,ar,NA,raw,3,108,8,-73.04807335630721,94.55279109985833
MX,2017-01-22,arx,dengue,processed,1,108,8,-67.06529892337416,90.666144213297
MX,2017-01-22,arx,dengue,processed,2,108,8,-34.58015974429006,66.4781825533826
MX,2017-01-22,arx,dengue,processed,3,108,8,-161.6832588985558,140.9031181255124
MX,2017-01-22,arx,dengue,raw,1,108,8,-69.52666590566011,91.54822091946708
MX,2017-01-22,arx,dengue,raw,2,108,8,-35.16662565306043,65.32468037686009
MX,2017-01-22,arx,dengue,raw,3,108,8,-129.55221814679342,125.63178069845628
MX,2017-01-22,arx,mosquito,processed,1,108,8,-56.238267567517696,83.80596212203278
MX,2017-01-22,arx,mosquito,processed,2,108,8,-29.04193587406628,61.512845812286045
MX,2017-01-22,arx,mosquito,processed,3,108,8,-95.72985822537284,106.73003722486378
MX,2017-01-22,arx,mosquito,raw,1,108,8,-64.2045032376665,88.62422491794092
MX,2017-01-22,arx,mosquito,raw,2,108,8,-34.98389806502141,65.83731396010737
MX,2017-01-22,arx,mosquito,raw,3,108,8,-84.70003226798032,99.8614353311627
MX,2017-01-22,arx,sintomas_de_dengue,processed,1,108,8,-41.346530786846856,72.62893260469431
MX,2017-01-22,arx,sintomas_de_dengue,processed,2,108,8,-70.58393264663928,94.28750932806541
MX,2017-01-22,arx,sintomas_de_dengue,processed,3,108,8,-124.92773825087508,121.65539413641268
