predictor_lab,prediction_lead,series,origin_week,R2,R2_low,R2_high
dengue,Lead 1,AR,2016-12-25,NA,NA,NA
dengue,Lead 1,AR,2017-01-01,NA,NA,NA
dengue,Lead 1,AR,2017-01-08,NA,NA,NA
dengue,Lead 1,AR,2017-01-15,NA,NA,NA
dengue,Lead 1,AR,2017-01-22,NA,NA,NA
dengue,Lead 1,AR,2017-01-29,NA,NA,NA
dengue,Lead 1,AR,2017-02-05,NA,NA,NA
dengue,Lead 1,AR,2017-02-12,-1.1222729081251868,-13.649556808588265,-0.31848496592606573
dengue,Lead 1,AR,2017-02-19,-6.615042173061476,-37.95086178390989,-2.5729474120961617
dengue,Lead 1,AR,2017-02-26,-3.697715547334367,-11.717087427837654,-1.0145645676072583
dengue,Lead 1,AR,2017-03-05,-3.660940002951876,-15.932048685779144,-0.8642155091162907
dengue,Lead 1,AR,2017-03-12,-4.040143150773465,-20.0164765756222,-0.7988411519519054
dengue,Lead 1,AR,2017-03-19,-1.5040854054237274,-10.4999782483466,0.19906473020573937
dengue,Lead 1,AR,2017-03-26,-2.328920964580349,-9.761252002760836,0.13364084963230427
dengue,Lead 1,AR,2017-04-02,-2.7775951653414306,-9.409728007272726,-1.5990170542636386
dengue,Lead 1,AR,2017-04-09,-2.2758073334097393,-7.526548302267026,0.09542610960031636
dengue,Lead 1,AR,2017-04-16,-1.963437673857738,-16.34189999708118,-0.02605657976738068
dengue,Lead 1,AR,2017-04-23,-2.7169422426883143,-8.293900324202319,-1.1481987864560925
dengue,Lead 1,AR,2017-04-30,-2.8583247261051743,-8.478778719971734,-0.7998910676067835
dengue,Lead 1,AR,2017-05-07,-1.9111480261167717,-6.28631405931449,-0.14815945140577036
dengue,Lead 1,AR,2017-05-14,-1.1134650710476621,-6.010438380987904,0.32041035815235097
dengue,Lead 1,AR,2017-05-21,-0.12558331131018008,-3.8748293431460397,0.7391458142980939
dengue,Lead 1,AR,2017-05-28,0.5981092410820228,-0.8468424602395608,0.9041052550580558
dengue,Lead 1,AR,2017-06-04,0.7061759035334816,-0.2691905804422717,0.9162404313204244
dengue,Lead 1,AR,2017-06-11,0.8498721066621678,0.5632120434152922,0.9613237366987479
dengue,Lead 1,AR,2017-06-18,0.9396666017727838,0.8111909185240336,0.9694228773462918
dengue,Lead 1,AR,2017-06-25,0.9344932771872683,0.8076745669036511,0.9740973810093827
dengue,Lead 1,AR,2017-07-02,0.7341257099473795,-1.3043913522137127,0.968737973468226
dengue,Lead 1,AR,2017-07-09,0.4564820883752678,-2.8504079584495745,0.9190072750537261
dengue,Lead 1,AR,2017-07-16,-0.3267202024572726,-5.231657450104424,0.7781433651648479
dengue,Lead 1,AR,2017-07-23,-1.4655554392884307,-8.893673036522479,0.6229123133077135
dengue,Lead 1,AR,2017-07-30,-0.9819169894391115,-6.00179324879219,0.07597621476441047
dengue,Lead 1,AR,2017-08-06,0.16741563949092353,-2.6658636510811764,0.38154709222461103
dengue,Lead 1,AR,2017-08-13,0.6021937349054567,-2.002165908126832,0.8671620504941189
dengue,Lead 1,AR,2017-08-20,0.6736726541519815,-0.04887488030659235,0.8146618166282471
dengue,Lead 1,AR,2017-08-27,0.7436469291262647,0.23229505889365704,0.8330651817433584
dengue,Lead 1,AR,2017-09-03,0.7985416420688618,0.44470029600912997,0.9522428412325679
dengue,Lead 1,AR,2017-09-10,0.6997052763545137,-0.08914127937455944,0.901660809362385
dengue,Lead 1,AR,2017-09-17,0.5649736438265782,-0.5287537065764355,0.8285609807503305
dengue,Lead 1,AR,2017-09-24,0.4487828069754324,-1.7875917347293684,0.8032058151416552
dengue,Lead 1,AR,2017-10-01,0.37995186073344744,-3.144622067523247,0.8059439014174942
dengue,Lead 1,AR,2017-10-08,0.029951223495460644,-2.9318252133498035,0.5767191348806786
dengue,Lead 1,AR,2017-10-15,-0.16098514538980213,-3.735014987233075,0.5037074875244281
dengue,Lead 1,AR,2017-10-22,-0.0014692092908508148,-4.567555281001219,0.5773776432264139
dengue,Lead 1,AR,2017-10-29,-0.13378143811178567,-5.882523868487979,0.47038509844446363
dengue,Lead 1,AR,2017-11-05,-1.8039025182330914,-17.322875960262976,0.0727156296305115
dengue,Lead 1,AR,2017-11-12,-0.056612998766565115,-2.668925525791627,0.15220994745546462
dengue,Lead 1,AR,2017-11-19,0.426980249494901,-0.9887898637407131,0.8864321104902407
dengue,Lead 1,AR,2017-11-26,0.6343346897157314,-0.2616597204240433,0.9200963315366462
dengue,Lead 1,AR,2017-12-03,0.6972763094318505,-0.3968202335246481,0.9143640218632553
dengue,Lead 1,AR,2017-12-10,0.7422149299884133,-0.6360477239870665,0.932570356286302
dengue,Lead 1,AR,2017-12-17,0.7730239458968987,-0.01662974623455932,0.9616859457836766
dengue,Lead 1,AR,2017-12-24,0.7298357409254022,-0.5906567338035089,0.9551482525568132
dengue,Lead 1,AR,2017-12-31,0.4306676960507674,-1.495773182071063,0.8720442826425758
dengue,Lead 1,AR,2018-01-07,0.7190566710545145,-2.8258097673058176,0.9206939065921736
dengue,Lead 1,AR,2018-01-14,0.2293626530533529,-4.396280374942991,0.6811058623926256
dengue,Lead 1,AR,2018-01-21,-1.55675337807617,-29.702596445239198,-0.671022813321496
dengue,Lead 1,AR,2018-01-28,-2.761853325128906,-43.528076236231726,-0.40944623686988274
dengue,Lead 1,AR,2018-02-04,-0.7434425662837121,-27.88942357165389,-0.06640035335716953
dengue,Lead 1,AR,2018-02-11,-0.30693890123241396,-19.53553299733029,0.31994959573214016
dengue,Lead 1,AR,2018-02-18,-1.9857810206899131,-17.456154311644603,-0.4341374169884997
dengue,Lead 1,AR,2018-02-25,-0.5138016748085172,-5.553619861825423,0.5311817875154727
dengue,Lead 1,AR,2018-03-04,-0.6846854190766565,-3.6036023644708255,0.03040821819092867
dengue,Lead 1,AR,2018-03-11,-0.883945629240547,-9.620070329338255,-0.040952650454160605
dengue,Lead 1,AR,2018-03-18,-1.6027770339520067,-6.4368195491780416,-0.23351283467350906
dengue,Lead 1,AR,2018-03-25,-2.228048441215744,-11.452384860099677,-0.28776792584429733
dengue,Lead 1,AR,2018-04-01,-2.3942354943236492,-19.898896227910928,-1.4190371377518567
dengue,Lead 1,AR,2018-04-08,-0.7453600544308623,-9.63788602409866,0.33344802105712834
dengue,Lead 1,AR,2018-04-15,-0.4925026595837907,-3.2729648758295955,0.24406529497248358
dengue,Lead 1,AR,2018-04-22,-1.3140797598951703,-27.66964475330529,-0.013716857488840578
dengue,Lead 1,AR,2018-04-29,-1.0126083110572992,-7.088260217781313,0.47652917727459626
dengue,Lead 1,AR,2018-05-06,-0.5093102060877435,-4.868523204768879,0.8512406013101012
dengue,Lead 1,AR,2018-05-13,0.03074177388558974,-4.002881144209486,0.920022715184349
dengue,Lead 1,AR,2018-05-20,0.3678235722667518,-3.560490075979836,0.9597094048123261
dengue,Lead 1,AR,2018-05-27,0.6403526367487977,-1.6662902509678412,0.929105883441233
dengue,Lead 1,AR,2018-06-03,0.789755221803744,-0.2093724933797793,0.9689168197294724
dengue,Lead 1,AR,2018-06-10,0.8569100815111552,0.5056447868556305,0.9834892978173593
dengue,Lead 1,AR,2018-06-17,0.9099164608418034,0.5424309269822947,0.9843734414947365
dengue,Lead 1,AR,2018-06-24,0.8768385582796048,0.41488477031625776,0.9781746866591607
dengue,Lead 1,AR,2018-07-01,0.7971719488028609,-1.1047017428479182,0.9604493243903487
dengue,Lead 1,AR,2018-07-08,0.6569752172977443,-2.3770294126455607,0.9487059037704758
dengue,Lead 1,AR,2018-07-15,0.09278275027031635,-2.296563916125336,0.5925398058876155
dengue,Lead 1,AR,2018-07-22,0.35497373810418564,-1.8001838485271517,0.7655820589949649
dengue,Lead 1,AR,2018-07-29,0.5172450619696186,-1.287436575785645,0.821574433183753
dengue,Lead 1,AR,2018-08-05,0.679037712054535,-0.03139758435424631,0.7953262359351301
dengue,Lead 1,AR,2018-08-12,0.7325862496676581,0.4918824358845961,0.8116865693445663
dengue,Lead 1,AR,2018-08-19,0.7108468078245895,0.37265950890387356,0.8485800573555173
dengue,Lead 1,AR,2018-08-26,0.5745285324984091,0.14655229543416945,0.7744580808942007
dengue,Lead 1,AR,2018-09-02,0.6925262778063949,0.25570675501165674,0.8714622531756203
dengue,Lead 1,AR,2018-09-09,0.7755863045478215,0.08777236747384058,0.9551002441051433
dengue,Lead 1,AR,2018-09-16,0.8026047921474073,0.21012489353873434,0.9507480046914234
dengue,Lead 1,AR,2018-09-23,0.8087612060642064,0.008721113505114089,0.9330528507650406
dengue,Lead 1,AR,2018-09-30,0.7870339436128992,0.19754893375676852,0.9164743292067676
dengue,Lead 1,AR,2018-10-07,0.8049111895449321,0.10578949054754952,0.939884123826167
dengue,Lead 1,AR,2018-10-14,0.6898707659392476,0.0851589044313755,0.8409350483274198
dengue,Lead 1,AR,2018-10-21,0.40677318006015617,-1.8642098352574172,0.787149332734239
dengue,Lead 1,AR,2018-10-28,0.09428842282355654,-2.1605919358059444,0.7442186874590526
dengue,Lead 1,AR,2018-11-04,-0.020970695723259603,-2.3102024279853497,0.5230020652734273
dengue,Lead 1,AR,2018-11-11,0.3246653136399825,-1.3129256510742866,0.5721760807308017
dengue,Lead 1,AR,2018-11-18,0.6030292028933335,-0.7701204946864657,0.8536845506424124
dengue,Lead 1,AR,2018-11-25,0.6990153362208653,-0.3761539282118386,0.9505651064051513
dengue,Lead 1,AR,2018-12-02,0.680503175072549,-0.18633728862829715,0.9289119587105539
dengue,Lead 1,AR,2018-12-09,0.6139461935832363,-0.5323227855516617,0.8923018092050597
dengue,Lead 1,AR,2018-12-16,0.716385543948589,-1.066104247547412,0.9087196367894967
dengue,Lead 1,AR,2018-12-23,0.6148854185954475,-1.2157363251396447,0.9009509635606419
dengue,Lead 1,AR,2018-12-30,0.19276205703314342,-1.7294309969226145,0.7384454730163861
dengue,Lead 1,AR,2019-01-06,0.5470163229382294,-0.8475207172536816,0.840197680500294
dengue,Lead 1,AR,2019-01-13,0.3600121365139678,-2.146751067217341,0.7678138639978559
dengue,Lead 1,AR,2019-01-20,-0.08634114506487323,-10.064323302765427,0.5639932314150861
dengue,Lead 1,AR,2019-01-27,-1.206361872929837,-17.741930217449138,0.21509142492951583
dengue,Lead 1,AR,2019-02-03,-1.0981217442433642,-29.253266200503287,0.42723975240943424
dengue,Lead 1,AR,2019-02-10,-0.49497036070959677,-46.8262554143282,0.5089629256114017
dengue,Lead 1,AR,2019-02-17,-18.24269769840093,-48.76075873262152,-2.9579909682193355
dengue,Lead 1,AR,2019-02-24,-7.1036062048092585,-58.89658025845691,-2.70766482733777
dengue,Lead 1,AR,2019-03-03,-1.8984377397122976,-15.655142882823014,-0.02261470482080801
dengue,Lead 1,AR,2019-03-10,-2.44693673446239,-14.056845611448189,-0.07990490580092897
dengue,Lead 1,AR,2019-03-17,-1.8563400742490503,-10.918809508761377,0.1106500749192883
dengue,Lead 1,AR,2019-03-24,-1.3805625463172855,-8.804010393008188,-0.2107956689316823
dengue,Lead 1,AR,2019-03-31,-1.1967429334739892,-5.842465198101776,-0.3967775940486983
dengue,Lead 1,AR,2019-04-07,-1.7296631140496008,-5.0698024073258825,-0.8008250499780546
dengue,Lead 1,AR,2019-04-14,-1.8024116084265018,-5.549032708263193,-1.046032093019056
dengue,Lead 1,AR,2019-04-21,-1.7065551824433771,-5.69499279500303,-0.3846684912421413
dengue,Lead 1,AR,2019-04-28,-1.7687832479393095,-5.016891245011333,-0.21474700601960642
dengue,Lead 1,AR,2019-05-05,-0.3125591173182598,-2.950884884840094,0.2628246691697357
dengue,Lead 1,AR,2019-05-12,0.103468387444836,-2.3091014737697915,0.7720210275849604
dengue,Lead 1,AR,2019-05-19,0.47220466851237697,-1.171796024096714,0.9385125264044707
dengue,Lead 1,AR,2019-05-26,0.6069191311850111,-0.18688684854193174,0.9647379417800928
dengue,Lead 1,AR,2019-06-02,0.49109535831473183,0.017101591696196714,0.9574169608554542
dengue,Lead 1,AR,2019-06-09,-0.2435011571744814,-10.758227213316518,0.8719039263006445
dengue,Lead 1,AR,2019-06-16,-0.2922891580773337,-11.313484180004792,0.69303346310161
dengue,Lead 1,AR,2019-06-23,-0.4323991861983958,-21.41466088547309,0.5075186218380624
dengue,Lead 1,AR,2019-06-30,-0.22453027374523415,-2.4707342703859227,0.7851027460164501
dengue,Lead 1,AR,2019-07-07,-0.1229678498257416,-2.850203177149856,0.7328042045840717
dengue,Lead 1,AR,2019-07-14,-0.061124878921412495,-3.481344544897608,0.7668974015057012
dengue,Lead 1,AR,2019-07-21,0.05443636688482478,-6.24532726326399,0.4365002866554587
dengue,Lead 1,AR,2019-07-28,0.5611299702529484,-0.25035787644379404,0.7175014301974401
dengue,Lead 1,AR,2019-08-04,0.7075802317235598,-0.11137385315331562,0.7685178483900446
dengue,Lead 1,AR,2019-08-11,0.7551654625047577,0.24075747575601975,0.8205916140610039
dengue,Lead 1,AR,2019-08-18,0.7930795863183239,0.4575682597153096,0.8692515001952472
dengue,Lead 1,AR,2019-08-25,0.8307168924283442,0.42079675310410114,0.9076277039339988
dengue,Lead 1,AR,2019-09-01,0.8682416642292725,0.4819291440991382,0.9548995179848081
dengue,Lead 1,AR,2019-09-08,0.8189067628547186,0.28623187048032606,0.9248207237202041
dengue,Lead 1,AR,2019-09-15,0.6934741639968058,-0.03623804193410474,0.8770980864516809
dengue,Lead 1,AR,2019-09-22,0.6498383200014235,-0.8401964599484502,0.8937717909345548
dengue,Lead 1,AR,2019-09-29,0.60487001761909,-0.8184950771114676,0.8797687736993609
dengue,Lead 1,AR,2019-10-06,0.506201050585541,-0.8177480492657165,0.9082715458211151
dengue,Lead 1,AR,2019-10-13,0.3424839768103326,-3.3014086652577754,0.8863411833569527
dengue,Lead 1,AR,2019-10-20,0.05006084909715858,-4.323061490983003,0.8610821635984152
dengue,Lead 1,AR,2019-10-27,0.06217817332310249,-3.7844744358497686,0.8373860840002147
dengue,Lead 1,ARX (raw),2016-12-25,NA,NA,NA
dengue,Lead 1,ARX (raw),2017-01-01,NA,NA,NA
dengue,Lead 1,ARX (raw),2017-01-08,NA,NA,NA
dengue,Lead 1,ARX (raw),2017-01-15,NA,NA,NA
dengue,Lead 1,ARX (raw),2017-01-22,NA,NA,NA
dengue,Lead 1,ARX (raw),2017-01-29,NA,NA,NA
dengue,Lead 1,ARX (raw),2017-02-05,NA,NA,NA
dengue,Lead 1,ARX (raw),2017-02-12,-0.8919127857494502,-18.261007106154082,0.2576013585089102
dengue,Lead 1,ARX (raw),2017-02-19,-8.680354202524917,-39.75840955544486,-2.7488985831126076
dengue,Lead 1,ARX (raw),2017-02-26,-5.80480990745502,-20.195715955721614,-1.4886278908090267
dengue,Lead 1,ARX (raw),2017-03-05,-6.019655142803458,-20.459213937208325,-2.1241340644390267
dengue,Lead 1,ARX (raw),2017-03-12,-6.6843045782832675,-23.29638207278942,-1.8269786965916321
dengue,Lead 1,ARX (raw),2017-03-19,-2.342611349890634,-11.381767726124512,-0.7420361851840794
dengue,Lead 1,ARX (raw),2017-03-26,-3.9668123391235257,-11.62840831962574,-2.4795601951788986
dengue,Lead 1,ARX (raw),2017-04-02,-30.139530575446674,-61.799148458771484,-3.2731357353946233
dengue,Lead 1,ARX (raw),2017-04-09,-61.991867808328344,-200.95631973389555,-3.5982959432067343
dengue,Lead 1,ARX (raw),2017-04-16,-82.6589350743649,-289.82560950262405,-25.36549680947251
dengue,Lead 1,ARX (raw),2017-04-23,-79.08699839661097,-214.82464149005654,-1.9835059763131841
dengue,Lead 1,ARX (raw),2017-04-30,-82.52444653565661,-229.84977154752892,-19.636042185306408
dengue,Lead 1,ARX (raw),2017-05-07,-67.30749904903739,-232.22208040742015,-19.74571000031532
dengue,Lead 1,ARX (raw),2017-05-14,-48.80543156065136,-166.59091918825212,-12.984018288115335
dengue,Lead 1,ARX (raw),2017-05-21,-25.969237980053606,-113.22561371954008,-5.443276743538712
dengue,Lead 1,ARX (raw),2017-05-28,-12.607368959472677,-66.18486079505496,0.8758541351787064
dengue,Lead 1,ARX (raw),2017-06-04,-3.542359209607488,-46.67249286195516,0.9730929982609435
dengue,Lead 1,ARX (raw),2017-06-11,0.926276179566163,0.6485983722414432,0.9879431941094003
dengue,Lead 1,ARX (raw),2017-06-18,0.8980237934936068,0.74356641289734,0.9604108125042339
dengue,Lead 1,ARX (raw),2017-06-25,0.937833222955852,0.5636194806441082,0.9738101395014022
dengue,Lead 1,ARX (raw),2017-07-02,0.7393020664361598,-1.531966684255877,0.9603338237185428
dengue,Lead 1,ARX (raw),2017-07-09,0.45838811980814664,-2.901636901989768,0.9188400711393032
dengue,Lead 1,ARX (raw),2017-07-16,-0.3353766065176207,-4.510635925763399,0.7690102660042953
dengue,Lead 1,ARX (raw),2017-07-23,-1.4752746320322006,-6.935113856535056,0.34494443490723947
dengue,Lead 1,ARX (raw),2017-07-30,-1.0123145341053976,-4.302330909362005,-0.2078299378747258
dengue,Lead 1,ARX (raw),2017-08-06,0.2248190805324516,-5.2638806693469675,0.39142933180766026
dengue,Lead 1,ARX (raw),2017-08-13,0.6464939121786936,-1.072684716841505,0.8785055932885972
dengue,Lead 1,ARX (raw),2017-08-20,0.7235158073501883,0.09567845932971611,0.8302703496280943
dengue,Lead 1,ARX (raw),2017-08-27,0.746704056645701,0.27551228913555204,0.8229645333483828
dengue,Lead 1,ARX (raw),2017-09-03,0.773601406655489,0.4637467070350817,0.913375415211618
dengue,Lead 1,ARX (raw),2017-09-10,0.6781486710912068,-0.06275095424626195,0.8517730894620833
dengue,Lead 1,ARX (raw),2017-09-17,0.5606703640797359,-0.7624801064841082,0.7821035449028497
dengue,Lead 1,ARX (raw),2017-09-24,0.4327290436020862,-2.693835019185225,0.7314293094960265
dengue,Lead 1,ARX (raw),2017-10-01,0.3500374730005731,-3.0448385339544912,0.7924552860385519
dengue,Lead 1,ARX (raw),2017-10-08,-0.01683257445737585,-2.7476292361461443,0.5140330378502955
dengue,Lead 1,ARX (raw),2017-10-15,-0.27317820800539594,-3.5141064257267427,0.4241204157872458
dengue,Lead 1,ARX (raw),2017-10-22,-0.09298304307874372,-4.531461582320574,0.4492171479647521
dengue,Lead 1,ARX (raw),2017-10-29,-0.11104695731283099,-6.418392835835357,0.510091561515222
dengue,Lead 1,ARX (raw),2017-11-05,-1.7955519284467587,-15.170866282067522,-0.1568412820900596
dengue,Lead 1,ARX (raw),2017-11-12,0.003464177283262093,-3.557946768580927,0.20896452811251812
dengue,Lead 1,ARX (raw),2017-11-19,0.46678693150114714,-0.6765532457715374,0.8810100033758049
dengue,Lead 1,ARX (raw),2017-11-26,0.6573646544264016,-0.6456112641692151,0.9163521229808925
dengue,Lead 1,ARX (raw),2017-12-03,0.7277264872529754,-0.5544165732331285,0.9242730303358376
