geo,origin_week,calendar_week,model,train_n,reporting_lag,n_leads,R2,MAPE,lambda,n_nonzero_search
MX,2017-12-24,2018-01-21,ar,156,4,4,0.041473044143738313,53.34687293631457,NA,0
MX,2017-12-24,2018-01-21,argo,156,4,4,0.12088615190974017,62.008915784057486,0.029593741175639843,4
MX,2017-12-31,2018-01-28,ar,157,4,4,-59.10824797888697,53.52931861956576,NA,0
MX,2017-12-31,2018-01-28,argo,157,4,4,-68.40667185254965,57.46194188831739,0.017198292504196164,5
MX,2018-01-07,2018-02-04,ar,158,4,4,-24.918041180740385,29.988465578612892,NA,0
MX,2018-01-07,2018-02-04,argo,158,4,4,-15.077565681150336,22.14935035470564,0.029050500750061728,3
MX,2018-01-14,2018-02-11,ar,159,4,4,-8.705333986925508,24.80410835901791,NA,0
MX,2018-01-14,2018-02-11,argo,159,4,4,-1.211938433914261,9.429582445281284,0.03400981809231835,3
MX,2018-01-21,2018-02-18,ar,160,4,4,-2.7679913439837596,23.316980891605276,NA,0
MX,2018-01-21,2018-02-18,argo,160,4,4,-1.4407423171622926,15.547670618840693,0.03434383431783771,3
MX,2018-01-28,2018-02-25,ar,161,4,4,-3.706080204597267,27.112097556608962,NA,0
MX,2018-01-28,2018-02-25,argo,161,4,4,-1.492259016461504,18.32740109834076,0.03384892054167985,3
MX,2018-02-04,2018-03-04,ar,162,4,4,-9.002907711240168,32.016994367015926,NA,0
MX,2018-02-04,2018-03-04,argo,162,4,4,-3.7716080280744144,22.759343996514733,0.02289585871901103,3
MX,2018-02-11,2018-03-11,ar,163,4,4,-21.72788850205395,30.372453362896117,NA,0
MX,2018-02-11,2018-03-11,argo,163,4,4,-5.060567975377508,14.773166025021853,0.020214629771785234,3
MX,2018-02-18,2018-03-18,ar,164,4,4,-33.80697745099541,30.277260180444433,NA,0
MX,2018-02-18,2018-03-18,argo,164,4,4,-0.15072152904353686,4.73737246804986,0.03784978360573717,3
MX,2018-02-25,2018-03-25,ar,165,4,4,-0.6082532758797228,23.48664486681375,NA,0
MX,2018-02-25,2018-03-25,argo,165,4,4,-0.19785608373372798,19.20451718979363,0.03717172818130227,3
MX,2018-03-04,2018-04-01,ar,166,4,4,-0.34319477475722304,20.94227764454245,NA,0
MX,2018-03-04,2018-04-01,argo,166,4,4,-0.94120411996814,21.371888547675724,0.04819035085846934,2
MX,2018-03-11,2018-04-08,ar,167,4,4,-2.047261615725702,28.006888323615232,NA,0
MX,2018-03-11,2018-04-08,argo,167,4,4,-1.2330573398791453,24.256224391048455,0.07586261594739624,2
MX,2018-03-18,2018-04-15,ar,168,4,4,-2.0711048879930423,37.87750722825912,NA,0
MX,2018-03-18,2018-04-15,argo,168,4,4,-0.367608257907309,28.85765756353739,0.0751937755609498,2
MX,2018-03-25,2018-04-22,ar,169,4,4,-9.103277247418859,45.23168775453523,NA,0
MX,2018-03-25,2018-04-22,argo,169,4,4,-6.802097921078955,40.823762087525594,0.06868056036241076,2
MX,2018-04-01,2018-04-29,ar,170,4,4,-11.961682222233046,46.52627957481423,NA,0
MX,2018-04-01,2018-04-29,argo,170,4,4,-5.372877012686318,30.762841379193024,0.061730213739155965,2
MX,2018-04-08,2018-05-06,ar,171,4,4,-12.054707990051746,39.2521708670148,NA,0
MX,2018-04-08,2018-05-06,argo,171,4,4,-6.760704680589959,29.66656558665719,0.023420797955430277,3
MX,2018-04-15,2018-05-13,ar,172,4,4,-6.704491348009341,27.22610253339329,NA,0
MX,2018-04-15,2018-05-13,argo,172,4,4,-3.6591712131235488,19.535163007845313,0.024800210248661265,3
MX,2018-04-22,2018-05-20,ar,173,4,4,-3.231657924776604,30.69816394119703,NA,0
MX,2018-04-22,2018-05-20,argo,173,4,4,-1.6200906757919684,23.320618721091712,0.018647565943840868,3
MX,2018-04-29,2018-05-27,ar,174,4,4,-4.580639983074231,37.519812934654475,NA,0
MX,2018-04-29,2018-05-27,argo,174,4,4,-0.977999183807924,21.746708179148953,0.002029478147441341,10
MX,2018-05-06,2018-06-03,ar,175,4,4,-3.1619759936513674,35.27245516104611,NA,0
MX,2018-05-06,2018-06-03,argo,175,4,4,-0.31892909792776347,19.829845158311628,0.001987038527123091,10
MX,2018-05-13,2018-06-10,ar,176,4,4,-4.069784472172591,34.349500347724906,NA,0
MX,2018-05-13,2018-06-10,argo,176,4,4,-2.002576368347314,22.451732777169394,0.0016244364045415608,10
MX,2018-05-20,2018-06-17,ar,177,4,4,-6.067120265540066,30.952001406321468,NA,0
MX,2018-05-20,2018-06-17,argo,177,4,4,-5.197567364948111,26.461327908130094,0.0014589500326989936,10
MX,2018-05-27,2018-06-24,ar,178,4,4,-30.168272280876035,26.877027630409412,NA,0
MX,2018-05-27,2018-06-24,argo,178,4,4,-35.48233840114735,26.711532851404556,0.0015839207613316583,10
MX,2018-06-03,2018-07-01,ar,179,4,4,-73.69588338722305,21.08558028905976,NA,0
MX,2018-06-03,2018-07-01,argo,179,4,4,-175.96269639070326,32.31021595763751,0.0027385861701392524,10
MX,2018-06-10,2018-07-08,ar,180,4,4,-22.697614749376623,18.96323441648944,NA,0
MX,2018-06-10,2018-07-08,argo,180,4,4,-34.61681840656081,21.41802557229311,0.0334679640254826,5
MX,2018-06-17,2018-07-15,ar,181,4,4,-17.008357425879225,19.63190439767207,NA,0
MX,2018-06-17,2018-07-15,argo,181,4,4,-28.60669279847348,25.794101014734842,0.033232937661546356,5
MX,2018-06-24,2018-07-22,ar,182,4,4,-42.85711938355504,24.59369257799032,NA,0
MX,2018-06-24,2018-07-22,argo,182,4,4,-72.84978848413628,32.90828784698211,0.033078124373284924,5
MX,2018-07-01,2018-07-29,ar,183,4,4,-39.12262415590561,28.970805689293204,NA,0
MX,2018-07-01,2018-07-29,argo,183,4,4,-43.032280895861085,30.002153827818205,0.043422874338301845,4
MX,2018-07-08,2018-08-05,ar,184,4,4,-25.91673998925879,24.885080557650056,NA,0
MX,2018-07-08,2018-08-05,argo,184,4,4,-23.567608886606415,22.724896335014975,0.04299022352030024,4
MX,2018-07-15,2018-08-12,ar,185,4,4,-5.734379841289505,23.499343273516544,NA,0
MX,2018-07-15,2018-08-12,argo,185,4,4,-6.9510127942105555,25.180675251051927,0.04267490443060455,4
MX,2018-07-22,2018-08-19,ar,186,4,4,-1.856743058650971,23.630963013003434,NA,0
MX,2018-07-22,2018-08-19,argo,186,4,4,-2.9266496708552294,25.210790852343116,0.05604273220388205,3
MX,2018-07-29,2018-08-26,ar,187,4,4,-0.6448779238242834,12.259928903878595,NA,0
MX,2018-07-29,2018-08-26,argo,187,4,4,-3.2436380770830207,21.245857323939816,0.08042423452310317,0
MX,2018-08-05,2018-09-02,ar,188,4,4,0.44691144465439947,12.276208026207595,NA,0
MX,2018-08-05,2018-09-02,argo,188,4,4,-3.2419493275575606,32.14928393605246,0.09619344634480145,0
MX,2018-08-12,2018-09-09,ar,189,4,4,0.5869655953383011,12.624392649668682,NA,0
MX,2018-08-12,2018-09-09,argo,189,4,4,-2.5833904046383194,31.396158611915904,0.08708991091583644,0
MX,2018-08-19,2018-09-16,ar,190,4,4,0.4263034812990286,14.08097673373577,NA,0
MX,2018-08-19,2018-09-16,argo,190,4,4,-1.9757318000063644,28.094166756557154,0.07882130247920911,1
MX,2018-08-26,2018-09-23,ar,191,4,4,-1.9555707184959363,20.323074279590916,NA,0
MX,2018-08-26,2018-09-23,argo,191,4,4,-9.748676510647648,39.41528557480814,0.07088253545341798,1
MX,2018-09-02,2018-09-30,ar,192,4,4,-2.5345054798238484,19.511318919283887,NA,0
MX,2018-09-02,2018-09-30,argo,192,4,4,-6.146878326155568,27.097329341743876,0.06520145518875081,1
MX,2018-09-09,2018-10-07,ar,193,4,4,-1.958002007996889,20.780206606211692,NA,0
MX,2018-09-09,2018-10-07,argo,193,4,4,-1.1425900186106817,16.790896728805915,0.030711917629419327,4
MX,2018-09-16,2018-10-14,ar,194,4,4,-3.4088703263254327,20.845132852497713,NA,0
MX,2018-09-16,2018-10-14,argo,194,4,4,-0.8903599392701902,11.404434130920327,0.009927431425190977,4
MX,2018-09-23,2018-10-21,ar,195,4,4,-7.973652450026199,20.049394384004408,NA,0
