geo,origin_week,calendar_week,prediction_week,prediction_lead,actual,predicted,APE,model,predictor,processing,max_lag,case_lags,search_lag,transform,train_n,reporting_lag
BR,2017-12-24,2018-01-21,2017-12-31,1,7588,3230.60514761382,57.42481355279626,ar,NA,raw,3,"1,2,3,52,104",NA,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-07,2,9052,3566.2084776750976,60.603087962051504,ar,NA,raw,3,"1,2,3,52,104",NA,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-14,3,11169,3719.771718817808,66.69557060777322,ar,NA,raw,3,"1,2,3,52,104",NA,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-21,4,10692,4020.830629891777,62.39402703056699,ar,NA,raw,3,"1,2,3,52,104",NA,log1p,156,4
BR,2017-12-24,2018-01-21,2017-12-31,1,7588,3138.6107094248914,58.63718095117434,arx,dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-07,2,9052,3376.0310436849977,62.70403177546401,arx,dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-14,3,11169,3497.2296165930293,68.68806861318802,arx,dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-21,4,10692,3679.072446675955,65.59041856831318,arx,dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2017-12-31,1,7588,3194.3728843248673,57.90230779751098,arx,mosquito,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-07,2,9052,3479.7848047089524,61.55783468063465,arx,mosquito,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-14,3,11169,3638.8669385018748,67.41993966781382,arx,mosquito,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-21,4,10692,3922.6686129143254,63.312115479664,arx,mosquito,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2017-12-31,1,7588,3221.621027622701,57.54321260381259,arx,sintomas_de_dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
BR,2017-12-24,2018-01-21,2018-01-07,2,9052,3548.8294812486547,60.795078642856225,arx,sintomas_de_dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
