geo,model,predictor,processing,max_lag,prediction_lead,n_origins,R2,MAPE
BR,ar,NA,processed,3,1,101,0.9528492965171861,15.027031339260002
BR,ar,NA,processed,3,2,101,0.8501847536498628,22.73500786256201
BR,ar,NA,processed,3,3,101,0.7061694438859254,28.4595208141124
BR,ar,NA,processed,3,4,101,0.538842352374403,34.20418537769841
BR,ar,NA,raw,3,1,101,0.9528492965171861,15.027031339260002
BR,ar,NA,raw,3,2,101,0.8501847536498628,22.73500786256201
BR,ar,NA,raw,3,3,101,0.7061694438859254,28.4595208141124
BR,ar,NA,raw,3,4,101,0.538842352374403,34.20418537769841
BR,arx,dengue,processed,3,1,101,0.95409160886415,14.654483905218365
BR,arx,dengue,processed,3,2,101,0.8743350248629985,21.996501644515565
BR,arx,dengue,processed,3,3,101,0.7909973491845929,27.17591297110135
BR,arx,dengue,processed,3,4,101,0.7193245617324198,31.904569319192838
BR,arx,dengue,raw,3,1,101,0.9632759348771018,13.658449180603096
BR,arx,dengue,raw,3,2,101,0.897805339580395,19.45986782417342
BR,arx,dengue,raw,3,3,101,0.8230158135819754,23.03389274544198
BR,arx,dengue,raw,3,4,101,0.7473638695085134,26.22122631414004
BR,arx,mosquito,processed,3,1,101,0.9653344968077994,14.581064404537655
BR,arx,mosquito,processed,3,2,101,0.9050044044872941,22.068077636104782
BR,arx,mosquito,processed,3,3,101,0.8382297899746594,27.699451478585996
BR,arx,mosquito,processed,3,4,101,0.7700051683210091,33.37792518636244
BR,arx,mosquito,raw,3,1,101,0.9626824466716489,14.038606853785824
BR,arx,mosquito,raw,3,2,101,0.8893528555001202,20.37121362344466
BR,arx,mosquito,raw,3,3,101,0.7989163567408125,24.745865935750732
BR,arx,mosquito,raw,3,4,101,0.6993340170141227,29.108875736976053
BR,arx,sintomas_de_dengue,processed,3,1,101,0.9577532232058238,15.576696544283191
BR,arx,sintomas_de_dengue,processed,3,2,101,0.891381422679277,23.31940463115572
BR,arx,sintomas_de_dengue,processed,3,3,101,0.8283259892662272,29.044166202534655
BR,arx,sintomas_de_dengue,processed,3,4,101,0.7707885704276745,34.403664804738575
BR,arx,sintomas_de_dengue,raw,3,1,101,0.9612977380204953,12.969948177384042
BR,arx,sintomas_de_dengue,raw,3,2,101,0.8975467013909832,17.881803900930727
BR,arx,sintomas_de_dengue,raw,3,3,101,0.8358973145606275,20.08940671753687
BR,arx,sintomas_de_dengue,raw,3,4,101,0.7648969664534089,23.174602918605895
