geo,origin_week,calendar_week,model,predictor,processing,max_lag,train_n,reporting_lag,n_leads,R2,MAPE
BR,2017-12-24,2018-01-21,ar,NA,processed,3,156,4,4,-17.634251740180872,61.77937478829699
BR,2017-12-24,2018-01-21,ar,NA,raw,3,156,4,4,-17.634251740180872,61.77937478829699
BR,2017-12-24,2018-01-21,arx,dengue,processed,3,156,4,4,-23.233861076723638,70.13555329105935
BR,2017-12-24,2018-01-21,arx,dengue,raw,3,156,4,4,-19.006055824084452,63.90492497703488
BR,2017-12-24,2018-01-21,arx,mosquito,processed,3,156,4,4,-19.796289007071522,65.13074853329886
BR,2017-12-24,2018-01-21,arx,mosquito,raw,3,156,4,4,-18.109743380659832,62.54804940640586
BR,2017-12-24,2018-01-21,arx,sintomas_de_dengue,processed,3,156,4,4,-18.485705841061446,63.11232770430622
BR,2017-12-24,2018-01-21,arx,sintomas_de_dengue,raw,3,156,4,4,-17.7542323285318,61.972169795223984
BR,2017-12-31,2018-01-28,ar,NA,processed,3,157,4,4,-13.264388599110067,31.164829107973542
BR,2017-12-31,2018-01-28,ar,NA,raw,3,157,4,4,-13.264388599110067,31.164829107973542
BR,2017-12-31,2018-01-28,arx,dengue,processed,3,157,4,4,-13.541119710600801,31.483686637413854
BR,2017-12-31,2018-01-28,arx,dengue,raw,3,157,4,4,-15.758447062982828,34.10508494944033
BR,2017-12-31,2018-01-28,arx,mosquito,processed,3,157,4,4,-8.794449287512183,25.518993610881825
BR,2017-12-31,2018-01-28,arx,mosquito,raw,3,157,4,4,-13.631164297936776,31.628009906722752
BR,2017-12-31,2018-01-28,arx,sintomas_de_dengue,processed,3,157,4,4,-11.71629775384269,29.34981007340836
BR,2017-12-31,2018-01-28,arx,sintomas_de_dengue,raw,3,157,4,4,-13.263330625252458,31.16170838362496
BR,2018-01-07,2018-02-04,ar,NA,processed,3,158,4,4,-25.66259765862958,20.89569080270797
BR,2018-01-07,2018-02-04,ar,NA,raw,3,158,4,4,-25.66259765862958,20.89569080270797
BR,2018-01-07,2018-02-04,arx,dengue,processed,3,158,4,4,-22.215886936524722,19.21375378195995
BR,2018-01-07,2018-02-04,arx,dengue,raw,3,158,4,4,-28.834255492666273,22.47250216322023
BR,2018-01-07,2018-02-04,arx,mosquito,processed,3,158,4,4,-16.313911057588687,16.456051742930217
BR,2018-01-07,2018-02-04,arx,mosquito,raw,3,158,4,4,-25.658168397743022,20.898491614351396
BR,2018-01-07,2018-02-04,arx,sintomas_de_dengue,processed,3,158,4,4,-22.963758231945235,20.08101962650408
BR,2018-01-07,2018-02-04,arx,sintomas_de_dengue,raw,3,158,4,4,-25.41599349616306,20.767132852026847
BR,2018-01-14,2018-02-11,ar,NA,processed,3,159,4,4,-1.0948017305667919,4.948983072659932
BR,2018-01-14,2018-02-11,ar,NA,raw,3,159,4,4,-1.0948017305667919,4.948983072659932
BR,2018-01-14,2018-02-11,arx,dengue,processed,3,159,4,4,-0.42731287471998924,4.28143090927015
BR,2018-01-14,2018-02-11,arx,dengue,raw,3,159,4,4,-1.6586130453711467,5.599486892564179
BR,2018-01-14,2018-02-11,arx,mosquito,processed,3,159,4,4,-0.4209921817329081,3.878867671907798
BR,2018-01-14,2018-02-11,arx,mosquito,raw,3,159,4,4,-1.1423380782904995,4.944459510140402
BR,2018-01-14,2018-02-11,arx,sintomas_de_dengue,processed,3,159,4,4,-2.2308016126628707,5.987511982136964
BR,2018-01-14,2018-02-11,arx,sintomas_de_dengue,raw,3,159,4,4,-0.9529348712775512,4.7887192790012705
BR,2018-01-21,2018-02-18,ar,NA,processed,3,160,4,4,-0.6922763761415114,6.674900385213389
BR,2018-01-21,2018-02-18,ar,NA,raw,3,160,4,4,-0.6922763761415114,6.674900385213389
BR,2018-01-21,2018-02-18,arx,dengue,processed,3,160,4,4,-0.3057954899378512,6.516447715433779
BR,2018-01-21,2018-02-18,arx,dengue,raw,3,160,4,4,-0.784634180719781,6.931444264040766
BR,2018-01-21,2018-02-18,arx,mosquito,processed,3,160,4,4,-0.48320607902931556,6.263509619720893
BR,2018-01-21,2018-02-18,arx,mosquito,raw,3,160,4,4,-0.7154663877176057,6.673694802430469
BR,2018-01-21,2018-02-18,arx,sintomas_de_dengue,processed,3,160,4,4,-1.3719435100027688,7.694299170501664
BR,2018-01-21,2018-02-18,arx,sintomas_de_dengue,raw,3,160,4,4,-0.6033881783759307,6.486948518524484
BR,2018-01-28,2018-02-25,ar,NA,processed,3,161,4,4,-0.5063567757119021,10.026584601412365
BR,2018-01-28,2018-02-25,ar,NA,raw,3,161,4,4,-0.5063567757119021,10.026584601412365
BR,2018-01-28,2018-02-25,arx,dengue,processed,3,161,4,4,-0.3492994705951793,10.331604983529745
BR,2018-01-28,2018-02-25,arx,dengue,raw,3,161,4,4,-0.42270574123897164,9.399267201569533
BR,2018-01-28,2018-02-25,arx,mosquito,processed,3,161,4,4,-0.4908600323344643,10.28955364987647
BR,2018-01-28,2018-02-25,arx,mosquito,raw,3,161,4,4,-0.5205297528789661,10.060201494792615
BR,2018-01-28,2018-02-25,arx,sintomas_de_dengue,processed,3,161,4,4,-0.8988494073087299,10.566263484447607
BR,2018-01-28,2018-02-25,arx,sintomas_de_dengue,raw,3,161,4,4,-0.441085924601579,9.914487331284242
BR,2018-02-04,2018-03-04,ar,NA,processed,3,162,4,4,-2.2159068983571433,15.147238701585849
BR,2018-02-04,2018-03-04,ar,NA,raw,3,162,4,4,-2.2159068983571433,15.147238701585849
BR,2018-02-04,2018-03-04,arx,dengue,processed,3,162,4,4,-2.0733107519913636,14.209531418227526
BR,2018-02-04,2018-03-04,arx,dengue,raw,3,162,4,4,-1.991772234675492,14.983866570644032
BR,2018-02-04,2018-03-04,arx,mosquito,processed,3,162,4,4,-2.3248390887465717,14.990767766232905
BR,2018-02-04,2018-03-04,arx,mosquito,raw,3,162,4,4,-2.242642853218366,15.191941842897766
BR,2018-02-04,2018-03-04,arx,sintomas_de_dengue,processed,3,162,4,4,-3.029389324220543,17.220505175917445
BR,2018-02-04,2018-03-04,arx,sintomas_de_dengue,raw,3,162,4,4,-2.0636585623830412,14.74032375525772
BR,2018-02-11,2018-03-11,ar,NA,processed,3,163,4,4,-7.968213889478077,20.55463919617709
BR,2018-02-11,2018-03-11,ar,NA,raw,3,163,4,4,-7.968213889478077,20.55463919617709
BR,2018-02-11,2018-03-11,arx,dengue,processed,3,163,4,4,-8.271195839881967,20.6521919810015
BR,2018-02-11,2018-03-11,arx,dengue,raw,3,163,4,4,-6.914708891775251,19.385914705168236
BR,2018-02-11,2018-03-11,arx,mosquito,processed,3,163,4,4,-8.96990343867792,21.475639985653743
BR,2018-02-11,2018-03-11,arx,mosquito,raw,3,163,4,4,-8.089306725451733,20.697953894950455
BR,2018-02-11,2018-03-11,arx,sintomas_de_dengue,processed,3,163,4,4,-10.271198400379689,22.976916110002662
BR,2018-02-11,2018-03-11,arx,sintomas_de_dengue,raw,3,163,4,4,-7.557170380487831,20.087215703786164
BR,2018-02-18,2018-03-18,ar,NA,processed,3,164,4,4,-36.61308436557593,20.825775403324922
BR,2018-02-18,2018-03-18,ar,NA,raw,3,164,4,4,-36.61308436557593,20.825775403324922
BR,2018-02-18,2018-03-18,arx,dengue,processed,3,164,4,4,-41.27363205439506,21.93114459134698
BR,2018-02-18,2018-03-18,arx,dengue,raw,3,164,4,4,-30.940346529446508,19.223340389557634
BR,2018-02-18,2018-03-18,arx,mosquito,processed,3,164,4,4,-44.632747864568955,22.757495738722678
