predictor_lab,prediction_lead,series,origin_week,R2,R2_low,R2_high
dengue,Lead 1,AR,2017-12-24,NA,NA,NA
dengue,Lead 1,AR,2017-12-31,NA,NA,NA
dengue,Lead 1,AR,2018-01-07,NA,NA,NA
dengue,Lead 1,AR,2018-01-14,NA,NA,NA
dengue,Lead 1,AR,2018-01-21,NA,NA,NA
dengue,Lead 1,AR,2018-01-28,NA,NA,NA
dengue,Lead 1,AR,2018-02-04,NA,NA,NA
dengue,Lead 1,AR,2018-02-11,-1.9550703908498894,-12.040232150201456,-0.7468312603222986
dengue,Lead 1,AR,2018-02-18,-1.4497353383581246,-9.953831625251935,-0.03445885813973395
dengue,Lead 1,AR,2018-02-25,-0.8483428430364948,-11.291642767315402,0.26016026249034035
dengue,Lead 1,AR,2018-03-04,0.12239208807150415,-1.60668927844691,0.4103813892150952
dengue,Lead 1,AR,2018-03-11,0.004633911812860214,-2.017534964216994,0.41840982594284126
dengue,Lead 1,AR,2018-03-18,-0.07982576198199598,-14.822953466564456,0.4526228180198868
dengue,Lead 1,AR,2018-03-25,-0.7719723338116653,-5.853526491977773,-0.07677117511565335
dengue,Lead 1,AR,2018-04-01,-1.226501943493962,-5.447058085372764,-0.6076771220521715
dengue,Lead 1,AR,2018-04-08,-1.842478676569172,-14.77395607079206,-1.1741347817465835
dengue,Lead 1,AR,2018-04-15,-2.390287172246302,-10.315205077150036,-1.473832321028357
dengue,Lead 1,AR,2018-04-22,-3.2035401748297447,-12.129289668732119,-1.7138665054863282
dengue,Lead 1,AR,2018-04-29,-4.063579939208454,-13.850797542201448,-1.8075883622493603
dengue,Lead 1,AR,2018-05-06,-3.605405485780399,-16.533879030541325,-1.554786100752559
dengue,Lead 1,AR,2018-05-13,-1.6464901896510282,-19.019075498050487,-0.27931530329320897
dengue,Lead 1,AR,2018-05-20,-0.15332612576787596,-6.994838135342752,0.48165706731451935
dengue,Lead 1,AR,2018-05-27,0.2691420105127691,-1.6192903174329227,0.6522414404132799
dengue,Lead 1,AR,2018-06-03,0.4094002410808817,-0.642901283975664,0.7101953944553593
dengue,Lead 1,AR,2018-06-10,0.5056434691628313,-0.08361094408449725,0.702918425069887
dengue,Lead 1,AR,2018-06-17,0.6951899321685988,0.28980155682087205,0.8163248666194001
dengue,Lead 1,AR,2018-06-24,0.792165889420765,0.19324592828872156,0.8880737912523626
dengue,Lead 1,AR,2018-07-01,0.8107978507947763,0.22053398437842722,0.9392262259634806
dengue,Lead 1,AR,2018-07-08,0.6922879912746275,0.06748377017028384,0.8961692229492788
dengue,Lead 1,AR,2018-07-15,0.7024169017823679,0.15937663968695404,0.8647718449359845
dengue,Lead 1,AR,2018-07-22,0.7094779443929033,-0.006486142787071873,0.8633727702557213
dengue,Lead 1,AR,2018-07-29,0.776426448961731,-0.005914505714660122,0.944759509886841
dengue,Lead 1,AR,2018-08-05,0.677264467020362,-0.35109795784644027,0.9650536215028305
dengue,Lead 1,AR,2018-08-12,0.5795838602531829,-0.22416838430534825,0.7987184645014489
dengue,Lead 1,AR,2018-08-19,0.6097550295571528,-0.11183939513966773,0.9277605756583203
dengue,Lead 1,AR,2018-08-26,0.6384309660909449,0.04894979718139214,0.7902172567062856
dengue,Lead 1,AR,2018-09-02,0.744326019769698,-0.13687437224840399,0.843539911659694
dengue,Lead 1,AR,2018-09-09,0.6735607536973058,0.28027713473318816,0.7427827098924148
dengue,Lead 1,AR,2018-09-16,0.5968549021199399,0.12084111691978512,0.7119216991992621
dengue,Lead 1,AR,2018-09-23,0.41191189011643703,-0.4482521084787296,0.5750471297177457
dengue,Lead 1,AR,2018-09-30,0.391743308478227,-0.3585565880206756,0.6107881981640793
dengue,Lead 1,AR,2018-10-07,0.4480323850463097,-0.2961856157559362,0.5256689371630121
dengue,Lead 1,AR,2018-10-14,0.5379627107970442,-0.1366158538633501,0.7784234895046358
dengue,Lead 1,AR,2018-10-21,0.40180802933683823,-0.7302558951795411,0.7153620739498583
dengue,Lead 1,AR,2018-10-28,0.2763156374628555,-0.9842554304434329,0.5828938557466531
dengue,Lead 1,AR,2018-11-04,0.20297506579122548,-1.9499682920723644,0.6177656972141422
dengue,Lead 1,AR,2018-11-11,-0.006277919442786661,-1.6324733090414738,0.3618197071981618
dengue,Lead 1,AR,2018-11-18,0.04994317654307556,-1.9516033879831136,0.3812501589392627
dengue,Lead 1,AR,2018-11-25,-0.04360142670702727,-1.8394457811329379,0.314756001253646
dengue,Lead 1,AR,2018-12-02,-0.07311668357376067,-1.941002351897819,0.311162816377599
dengue,Lead 1,AR,2018-12-09,-0.3578650217318202,-3.288860877370897,0.19024327955577985
dengue,Lead 1,AR,2018-12-16,-0.2275174653210601,-3.2673187690474474,0.3167587483664931
dengue,Lead 1,AR,2018-12-23,-0.6701703084861734,-2.4845326144836966,0.15409320916124314
dengue,Lead 1,AR,2018-12-30,-0.36297803380185534,-4.258447787767475,0.17553386751880723
dengue,Lead 1,AR,2019-01-06,-0.2002868906512374,-2.328990345978518,0.3193354171670234
dengue,Lead 1,AR,2019-01-13,-0.044576437146943704,-1.9325556638353643,0.4236003575600048
dengue,Lead 1,AR,2019-01-20,0.046699951409871376,-2.2961368189105604,0.4410538160567591
dengue,Lead 1,AR,2019-01-27,0.0908568888007465,-2.211453323267257,0.47300043897830746
dengue,Lead 1,AR,2019-02-03,0.03888742338144868,-2.41041562180758,0.4802249604940323
dengue,Lead 1,AR,2019-02-10,-0.28118095811279065,-3.768189291842229,0.19239260135488154
dengue,Lead 1,AR,2019-02-17,-0.42624783863394633,-4.121259136381165,0.17724761910917136
dengue,Lead 1,AR,2019-02-24,-0.7160439987598135,-5.64977825830014,0.13209672674932987
