geo,origin_week,calendar_week,prediction_week,prediction_lead,actual,predicted,APE,model,predictor,processing,max_lag,case_lags,search_lag,transform,train_n,reporting_lag
MX,2017-12-24,2018-01-21,2017-12-31,1,68,138.51747409295365,103.70216778375536,ar,NA,raw,3,"1,2,3,52,104",NA,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-07,2,280,168.35620847573523,39.87278268723742,ar,NA,raw,3,"1,2,3,52,104",NA,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-14,3,301,198.8686839295635,33.930669790842686,ar,NA,raw,3,"1,2,3,52,104",NA,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-21,4,339,217.36045567119683,35.88187148342276,ar,NA,raw,3,"1,2,3,52,104",NA,log1p,156,4
MX,2017-12-24,2018-01-21,2017-12-31,1,68,160.0402700925908,135.35333837145706,arx,dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-07,2,280,219.54041548732204,21.592708754527845,arx,dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-14,3,301,248.56404896794763,17.42058173822338,arx,dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-21,4,339,264.1834932745299,22.069765995713894,arx,dengue,raw,3,"1,2,3,52,104",0,log1p,156,4
MX,2017-12-24,2018-01-21,2017-12-31,1,68,150.4055330668795,121.1846074512934,arx,mosquito,raw,3,"1,2,3,52,104",0,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-07,2,280,170.77278112889852,39.00972102539339,arx,mosquito,raw,3,"1,2,3,52,104",0,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-14,3,301,190.6855913787187,36.649305189794454,arx,mosquito,raw,3,"1,2,3,52,104",0,log1p,156,4
MX,2017-12-24,2018-01-21,2018-01-21,4,339,194.67911008979632,42.572533896815244,arx,mosquito,raw,3,"1,2,3,52,104",0,log1p,156,4
