geo,model,predictor,processing,max_lag,prediction_lead,n_origins,R2,MAPE
MX,ar,NA,processed,3,1,101,0.9088826373543014,27.256427628913542
MX,ar,NA,processed,3,2,101,0.7810902952320726,34.05772597534833
MX,ar,NA,processed,3,3,101,0.6352184984134401,39.144546049310236
MX,ar,NA,processed,3,4,101,0.5075444936742783,42.49383890119833
MX,ar,NA,raw,3,1,101,0.9088826373543014,27.256427628913542
MX,ar,NA,raw,3,2,101,0.7810902952320726,34.05772597534833
MX,ar,NA,raw,3,3,101,0.6352184984134401,39.144546049310236
MX,ar,NA,raw,3,4,101,0.5075444936742783,42.49383890119833
MX,arx,dengue,processed,3,1,101,0.9272733582299637,27.602875592666347
MX,arx,dengue,processed,3,2,101,0.8115674162330861,33.70250788189233
MX,arx,dengue,processed,3,3,101,0.668723006214738,38.22777890131343
MX,arx,dengue,processed,3,4,101,0.5591438687976266,40.66617208833904
MX,arx,dengue,raw,3,1,101,0.9290520150929251,25.448922617627208
MX,arx,dengue,raw,3,2,101,0.7949990185235787,30.903512142852225
MX,arx,dengue,raw,3,3,101,0.6073589543231936,35.10643455993096
MX,arx,dengue,raw,3,4,101,0.43731118819074766,37.33895955207882
MX,arx,mosquito,processed,3,1,101,0.924038307092358,26.662921187244155
MX,arx,mosquito,processed,3,2,101,0.8202421864607725,33.25418175641583
MX,arx,mosquito,processed,3,3,101,0.6967788497384932,38.49127454140413
MX,arx,mosquito,processed,3,4,101,0.579906082381635,41.85707279521145
MX,arx,mosquito,raw,3,1,101,0.932572410494851,25.42875145014058
MX,arx,mosquito,raw,3,2,101,0.8497216274480082,30.995214000760463
MX,arx,mosquito,raw,3,3,101,0.7565308560814521,35.36885782690205
MX,arx,mosquito,raw,3,4,101,0.6750245285212643,38.13033867050745
MX,arx,sintomas_de_dengue,processed,3,1,101,0.9224142298180296,26.394941885471688
MX,arx,sintomas_de_dengue,processed,3,2,101,0.8164539081019152,33.027687993622266
MX,arx,sintomas_de_dengue,processed,3,3,101,0.6966557080883145,38.15185148919808
MX,arx,sintomas_de_dengue,processed,3,4,101,0.5853789136192428,41.40401095303616
MX,arx,sintomas_de_dengue,raw,3,1,101,0.9500227748283023,25.896238590424993
MX,arx,sintomas_de_dengue,raw,3,2,101,0.8858552870488919,32.125028209353104
MX,arx,sintomas_de_dengue,raw,3,3,101,0.8122406394124156,36.64281532061915
MX,arx,sintomas_de_dengue,raw,3,4,101,0.7498894095894117,39.39712095309491
