geo,origin_week,calendar_week,model,predictor,processing,max_lag,train_n,reporting_lag,n_leads,R2,MAPE
MX,2017-12-24,2018-01-21,ar,NA,processed,3,156,4,4,0.041473044143739535,53.34687293631456
MX,2017-12-24,2018-01-21,ar,NA,raw,3,156,4,4,0.041473044143739535,53.34687293631456
MX,2017-12-24,2018-01-21,arx,dengue,processed,3,156,4,4,0.5700881886015449,44.19865597510987
MX,2017-12-24,2018-01-21,arx,dengue,raw,3,156,4,4,0.5400177192226282,49.10909871498054
MX,2017-12-24,2018-01-21,arx,mosquito,processed,3,156,4,4,-0.29994127185469543,59.95272245272197
MX,2017-12-24,2018-01-21,arx,mosquito,raw,3,156,4,4,-0.16196462000198242,59.85404189082413
MX,2017-12-24,2018-01-21,arx,sintomas_de_dengue,processed,3,156,4,4,0.035760959241164736,54.24016338737494
MX,2017-12-24,2018-01-21,arx,sintomas_de_dengue,raw,3,156,4,4,-0.15000338848167494,54.30413368773576
MX,2017-12-31,2018-01-28,ar,NA,processed,3,157,4,4,-59.108247978887,53.52931861956578
MX,2017-12-31,2018-01-28,ar,NA,raw,3,157,4,4,-59.108247978887,53.52931861956578
MX,2017-12-31,2018-01-28,arx,dengue,processed,3,157,4,4,-27.89060177485487,36.656625577765375
MX,2017-12-31,2018-01-28,arx,dengue,raw,3,157,4,4,-38.15063721473496,43.1440015940498
MX,2017-12-31,2018-01-28,arx,mosquito,processed,3,157,4,4,-73.73057749118924,59.60464623472909
MX,2017-12-31,2018-01-28,arx,mosquito,raw,3,157,4,4,-66.93613773544675,56.910660867865545
MX,2017-12-31,2018-01-28,arx,sintomas_de_dengue,processed,3,157,4,4,-59.39279975075962,53.66054316230938
MX,2017-12-31,2018-01-28,arx,sintomas_de_dengue,raw,3,157,4,4,-72.30091787897014,59.02041074123052
MX,2018-01-07,2018-02-04,ar,NA,processed,3,158,4,4,-24.918041180740357,29.988465578612878
MX,2018-01-07,2018-02-04,ar,NA,raw,3,158,4,4,-24.918041180740357,29.988465578612878
MX,2018-01-07,2018-02-04,arx,dengue,processed,3,158,4,4,-10.426966452033042,19.271014113245556
MX,2018-01-07,2018-02-04,arx,dengue,raw,3,158,4,4,-16.292197104673303,24.177536114795803
MX,2018-01-07,2018-02-04,arx,mosquito,processed,3,158,4,4,-40.3502341161441,37.86076572048389
MX,2018-01-07,2018-02-04,arx,mosquito,raw,3,158,4,4,-37.75896386565832,36.713848240941445
MX,2018-01-07,2018-02-04,arx,sintomas_de_dengue,processed,3,158,4,4,-25.05965402551838,30.06629787920273
MX,2018-01-07,2018-02-04,arx,sintomas_de_dengue,raw,3,158,4,4,-33.34496060721259,34.61048108766415
MX,2018-01-14,2018-02-11,ar,NA,processed,3,159,4,4,-8.705333986925524,24.804108359017924
MX,2018-01-14,2018-02-11,ar,NA,raw,3,159,4,4,-8.705333986925524,24.804108359017924
MX,2018-01-14,2018-02-11,arx,dengue,processed,3,159,4,4,-7.809924813086692,21.553556801020648
MX,2018-01-14,2018-02-11,arx,dengue,raw,3,159,4,4,-4.518500066911942,18.92368477294853
MX,2018-01-14,2018-02-11,arx,mosquito,processed,3,159,4,4,-12.34992056017033,29.464829742750926
