predictor_lab,prediction_lead,series,origin_week,R2,R2_low,R2_high
dengue,Lead 1,AR,2017-12-24,NA,NA,NA
dengue,Lead 1,AR,2017-12-31,NA,NA,NA
dengue,Lead 1,AR,2018-01-07,NA,NA,NA
dengue,Lead 1,AR,2018-01-14,NA,NA,NA
dengue,Lead 1,AR,2018-01-21,NA,NA,NA
dengue,Lead 1,AR,2018-01-28,NA,NA,NA
dengue,Lead 1,AR,2018-02-04,NA,NA,NA
dengue,Lead 1,AR,2018-02-11,0.06948562096334743,-21.381531225045983,0.7324775625514542
dengue,Lead 1,AR,2018-02-18,-2.241431086959264,-14.88733774364945,-0.7465702461672893
dengue,Lead 1,AR,2018-02-25,-0.509214353948541,-4.138662057168777,0.08600663832212796
dengue,Lead 1,AR,2018-03-04,-0.2401793886526138,-3.275290888806591,0.3458526079865888
dengue,Lead 1,AR,2018-03-11,-0.3990203715238969,-7.814551559239906,0.25995761748787466
dengue,Lead 1,AR,2018-03-18,-0.4643974125820469,-7.721148208496089,0.11389538798553181
dengue,Lead 1,AR,2018-03-25,-1.2948110667776054,-16.407159577612912,-0.4429944421276423
dengue,Lead 1,AR,2018-04-01,-2.446163316923808,-43.04989942066736,-0.532761497985151
dengue,Lead 1,AR,2018-04-08,-1.8361000723500975,-31.686878280132476,-0.4779464790789513
dengue,Lead 1,AR,2018-04-15,-1.2913739971032663,-8.011818352839029,0.0539303302700969
dengue,Lead 1,AR,2018-04-22,-1.1800051768767283,-9.81960870086306,0.06677662080629339
dengue,Lead 1,AR,2018-04-29,-1.2722511083770223,-6.719786107887151,-0.11238133279369122
dengue,Lead 1,AR,2018-05-06,-1.0481524026558948,-9.433305418580328,0.11590509067806731
dengue,Lead 1,AR,2018-05-13,-1.6029769049769946,-9.57849966591667,-0.3281868729419834
dengue,Lead 1,AR,2018-05-20,-0.9181292564587678,-9.848841423393957,0.06006087788342748
dengue,Lead 1,AR,2018-05-27,-0.06091093408106496,-5.532724769140177,0.422858917435941
dengue,Lead 1,AR,2018-06-03,0.4334296785913131,-1.1641168551368568,0.6433792082432954
dengue,Lead 1,AR,2018-06-10,0.5252046411897329,-0.6822274659139306,0.7271584612659725
dengue,Lead 1,AR,2018-06-17,0.4014876303939705,-1.024431036043982,0.6336784226129766
dengue,Lead 1,AR,2018-06-24,0.2264808755706854,-2.219236896474656,0.586381466278926
dengue,Lead 1,AR,2018-07-01,-0.45622960994400663,-10.801437763307455,0.1508603734345786
dengue,Lead 1,AR,2018-07-08,-1.5461684358036112,-18.034331888023516,-0.32484506482531544
dengue,Lead 1,AR,2018-07-15,-5.271992111504211,-19.267368453484696,-3.0679809281989012
dengue,Lead 1,AR,2018-07-22,-4.485201582145267,-18.120711613996477,-2.1590282784265353
dengue,Lead 1,AR,2018-07-29,-2.731714511357425,-14.123474051811296,-0.3555127701382164
dengue,Lead 1,AR,2018-08-05,-0.5372180010737777,-9.012168038110978,0.3462779197486936
dengue,Lead 1,AR,2018-08-12,0.20404453450469828,-9.235034439693539,0.5888004312066408
dengue,Lead 1,AR,2018-08-19,0.12506480418323407,-2.3152407820556826,0.35924722700143785
dengue,Lead 1,AR,2018-08-26,0.6732863790864453,-0.8829602474483462,0.8114031283176493
dengue,Lead 1,AR,2018-09-02,0.7916877723178808,-0.4782416876380118,0.8680797166418261
dengue,Lead 1,AR,2018-09-09,0.8133877797081609,-0.12150764301629327,0.8630241900236383
dengue,Lead 1,AR,2018-09-16,0.8368243526799647,0.4657821336890116,0.888811564018483
dengue,Lead 1,AR,2018-09-23,0.8244766512551185,0.5043322578399922,0.8811517374916695
dengue,Lead 1,AR,2018-09-30,0.7679748283549582,0.2126972296562163,0.8409982793039539
dengue,Lead 1,AR,2018-10-07,0.7558416025679813,0.2089880964941757,0.8768026326079965
dengue,Lead 1,AR,2018-10-14,0.628853296074523,-0.19090286551789565,0.8025867771335216
dengue,Lead 1,AR,2018-10-21,0.46702906892364104,-0.6548617309402853,0.7090279123494373
dengue,Lead 1,AR,2018-10-28,0.09342543141523574,-1.622876055625892,0.4810675188724276
dengue,Lead 1,AR,2018-11-04,0.10859178596205588,-2.2563528794587553,0.570063013274597
dengue,Lead 1,AR,2018-11-11,0.6492431573054533,-1.4960572952199227,0.8338583957611745
dengue,Lead 1,AR,2018-11-18,0.8095192021777845,-0.28399608382672964,0.9084707500096512
dengue,Lead 1,AR,2018-11-25,0.887462070894948,0.7293650156098923,0.93874050632316
dengue,Lead 1,AR,2018-12-02,0.8812965835505062,0.7128106024122567,0.93025756572251606
dengue,Lead 1,AR,2018-12-09,0.8609912672120013,0.5293917099534782,0.9146337756245455
dengue,Lead 1,AR,2018-12-16,0.879656381884328,0.26445017601153875,0.9305240483509318
dengue,Lead 1,AR,2018-12-23,0.8846785802742251,0.2964709189150062,0.9582798859390503
dengue,Lead 1,AR,2018-12-30,0.707831350921697,-0.12034048986077046,0.8732677823174861
dengue,Lead 1,AR,2019-01-06,0.5258040018774227,-1.1711440021836181,0.87960518028811
dengue,Lead 1,AR,2019-01-13,0.19636829429350766,-2.704613135202762,0.7126740818652483
dengue,Lead 1,AR,2019-01-20,-0.2959393978252465,-12.387463733343466,0.5337918660043084
dengue,Lead 1,AR,2019-01-27,-1.2841899616289285,-57.504881067478436,0.262153685249756
dengue,Lead 1,AR,2019-02-03,-1.7133777862611024,-93.13074631961985,0.10128949931865075
dengue,Lead 1,AR,2019-02-10,-1.9687591926099626,-156.10438974071775,0.13860347390850944
dengue,Lead 1,AR,2019-02-17,-48.94323409179459,-215.10550873446027,-29.379169835759342
dengue,Lead 1,AR,2019-02-24,-58.34937224065691,-562.5322217463997,-24.326825870716327
