date,cluster_1__influenza+flu,fever
2021-07-18,6.5,27
2021-07-25,8,28
2021-08-01,10.5,29
2021-08-08,11,29
2021-08-15,11.5,31
2021-08-22,12.5,31
2021-08-29,12,32
2021-09-05,14.5,31
2021-09-12,16,29
2021-09-19,18.5,28
2021-09-26,21,28
2021-10-03,22,28
2021-10-10,21.5,28
2021-10-17,18.5,26
2021-10-24,18.5,26
2021-10-31,17.5,26
2021-11-07,17.5,28
2021-11-14,18,27
2021-11-21,15,26
2021-11-28,17.5,30
2021-12-05,16,30
2021-12-12,18,33
2021-12-19,22.5,43
2021-12-26,27,57
2022-01-02,27.5,55
2022-01-09,19,48
2022-01-16,12.5,40
2022-01-23,10.5,31
2022-01-30,9,30
2022-02-06,8.5,26
2022-02-13,9,25
2022-02-20,9.5,25
2022-02-27,9,24
2022-03-06,9,25
2022-03-13,11.5,25
2022-03-20,10.5,27
2022-03-27,10.5,25
2022-04-03,12,27
2022-04-10,11.5,28
2022-04-17,12,27
2022-04-24,12,28
2022-05-01,11,30
2022-05-08,11,32
2022-05-15,9.5,31
2022-05-22,8.5,32
2022-05-29,8,32
2022-06-05,7.5,31
2022-06-12,6,30
2022-06-19,6,31
2022-06-26,5.5,30
2022-07-03,7.5,32
2022-07-10,5,31
2022-07-17,5,32
2022-07-24,5,31
2022-07-31,5,28
2022-08-07,5,30
2022-08-14,6,28
2022-08-21,8,30
2022-08-28,8,28
2022-09-04,9.5,28
2022-09-11,12.5,27
2022-09-18,15,28
2022-09-25,16.5,27
2022-10-02,19.5,28
2022-10-09,23,29
2022-10-16,24,31
2022-10-23,30.5,34
2022-10-30,32.5,37
2022-11-06,31,36
2022-11-13,33,36
2022-11-20,36.5,43
2022-11-27,39,40
2022-12-04,38.5,42
2022-12-11,36,41
2022-12-18,33,41
2022-12-25,27,39
2023-01-01,18,30
2023-01-08,14,28
2023-01-15,12.5,27
2023-01-22,11.5,27
2023-01-29,10.5,32
2023-02-05,11,30
2023-02-12,10,28
2023-02-19,10.5,29
2023-02-26,9.5,29
2023-03-05,9,28
2023-03-12,8.5,28
2023-03-19,9,28
2023-03-26,8,27
2023-04-02,7,27
2023-04-09,7,27
2023-04-16,7,27
2023-04-23,6.5,27
2023-04-30,6.5,26
2023-05-07,6.5,27
2023-05-14,5.5,27
2023-05-21,5.5,28
2023-05-28,5,28
2023-06-04,4.5,26
2023-06-11,4.5,27
2023-06-18,4.5,25
2023-06-25,4.5,25
2023-07-02,4,25
2023-07-09,4,24
2023-07-16,4,24
2023-07-23,4.5,23
2023-07-30,4.5,24
2023-08-06,5,24
2023-08-13,6,26
2023-08-20,6.5,26
2023-08-27,8,25
2023-09-03,9.5,26
2023-09-10,12.5,26
2023-09-17,14.5,26
2023-09-24,16,26
2023-10-01,16,26
2023-10-08,16.5,27
2023-10-15,17.5,27
2023-10-22,16,27
2023-10-29,16,26
2023-11-05,15.5,29
2023-11-12,17,30
2023-11-19,14.5,29
2023-11-26,17,31
2023-12-03,18,34
2023-12-10,21,36
2023-12-17,27.5,42
2023-12-24,30,44
2023-12-31,25,36
2024-01-07,19.5,32
2024-01-14,16.5,30
2024-01-21,17.5,32
2024-01-28,17.5,32
2024-02-04,17.5,33
2024-02-11,17,31
2024-02-18,17,33
2024-02-25,15.5,32
2024-03-03,14,32
2024-03-10,12,29
2024-03-17,11,28
2024-03-24,10.5,28
2024-03-31,13,27
2024-04-07,10,28
2024-04-14,8.5,37
2024-04-21,9.5,29
2024-04-28,9.5,39
2024-05-05,7.5,35
2024-05-12,7,54
2024-05-19,7,58
2024-05-26,6.5,61
2024-06-02,8.5,53
2024-06-09,6,50
2024-06-16,6,62
2024-06-23,5.5,55
2024-06-30,5,57
2024-07-07,5,53
2024-07-14,5.5,49
2024-07-21,5,27
2024-07-28,5.5,26
2024-08-04,5.5,25
2024-08-11,6,36
2024-08-18,7.5,48
2024-08-25,8,67
2024-09-01,10,64
2024-09-08,12,60
2024-09-15,13,51
2024-09-22,13.5,58
2024-09-29,15.5,27
2024-10-06,15.5,26
2024-10-13,14.5,25
2024-10-20,14.5,26
2024-10-27,13.5,31
2024-11-03,12.5,25
2024-11-10,14.5,27
2024-11-17,14,29
2024-11-24,12.5,29
2024-12-01,15.5,28
2024-12-08,17,31
2024-12-15,28,37
2024-12-22,32.5,45
2024-12-29,38.5,39
2025-01-05,33,35
2025-01-12,30.5,39
2025-01-19,36.5,39
2025-01-26,53.5,46
2025-02-02,56.5,48
2025-02-09,51.5,40
2025-02-16,40.5,37
2025-02-23,35,35
2025-03-02,26,34
2025-03-09,21,31
2025-03-16,17,30
2025-03-23,14.5,29
2025-03-30,11.5,27
2025-04-06,11,26
2025-04-13,9,29
2025-04-20,9.5,28
2025-04-27,8,31
2025-05-04,8,37
2025-05-11,7.5,38
2025-05-18,7,63
2025-05-25,7,44
2025-06-01,5.5,37
2025-06-08,5,48
2025-06-15,5,58
2025-06-22,5,62
2025-06-29,5,51
2025-07-06,5.5,51
2025-07-13,5,53
2025-07-20,6,40
2025-07-27,6,48
2025-08-03,5.5,46
2025-08-10,6,42
2025-08-17,7.5,40
2025-08-24,8.5,43
2025-08-31,10.5,40
2025-09-07,11.5,31
2025-09-14,13,40
2025-09-21,13.5,48
2025-09-28,15.5,46
2025-10-05,15,24
2025-10-12,15.5,24
2025-10-19,15,26
2025-10-26,14,23
2025-11-02,15,27
2025-11-09,14.5,28
2025-11-16,16,31
2025-11-23,16.5,27
2025-11-30,18,30
2025-12-07,23,33
2025-12-14,36.5,40
2025-12-21,56,49
2025-12-28,57,41
2026-01-04,47,36
2026-01-11,29.5,33
2026-01-18,26.5,35
2026-01-25,23,36
2026-02-01,23,39
2026-02-08,24,37
2026-02-15,25,37
2026-02-22,21,37
2026-03-01,19.5,36
2026-03-08,17,35
2026-03-15,14.5,35
2026-03-22,13.5,34
2026-03-29,12.5,34
2026-04-05,12,36
2026-04-12,10,37
2026-04-19,10,38
2026-04-26,9,42
2026-05-03,9.5,47
2026-05-10,9.5,52
2026-05-17,8,56
2026-05-24,8,54
2026-05-31,8.5,59
2026-06-07,9,69
2026-06-14,9.5,69
2026-06-21,8.5,58
2026-06-28,6,41
2026-07-05,5.5,51
2026-07-12,5.5,56
2026-07-19,4,67
