sample_collect_date,site,counties_served,population_served,pcr_target_avg_conc,pcr_target_flowpop_lin,pcr_target_detect
2022-06-26,337,Fulton,189593,0.0,,no
2022-06-26,336,Fulton,84486,0.0,,no
2022-06-26,338,Fulton,190000,0.0,,no
2022-06-27,326,Fulton,12818,1783.59406,,yes
2022-06-28,336,Fulton,84486,4213.35639,,yes
2022-06-28,326,Fulton,12818,1804.87641,,yes
2022-06-28,337,Fulton,189593,0.0,,no
2022-06-29,338,Fulton,190000,0.0,,no
2022-06-29,326,Fulton,12818,16687.58746,,yes
2022-06-30,337,Fulton,189593,4285.64106,,yes
2022-06-30,336,Fulton,84486,0.0,,no
2022-06-30,338,Fulton,190000,0.0,,no
2022-07-04,338,Fulton,190000,0.0,,no
2022-07-04,337,Fulton,189593,0.0,,no
2022-07-04,326,Fulton,12818,0.0,,no
2022-07-05,336,Fulton,84486,0.0,,no
2022-07-05,326,Fulton,12818,0.0,,no
2022-07-05,337,Fulton,189593,2366.42259,,yes
2022-07-05,338,Fulton,190000,0.0,,no
2022-07-06,337,Fulton,189593,0.0,,no
2022-07-06,326,Fulton,12818,0.0,,no
2022-07-06,338,Fulton,190000,0.0,,no
2022-07-06,336,Fulton,84486,0.0,,no
2022-07-11,338,Fulton,190000,3100.03324,,yes
2022-07-11,337,Fulton,189593,0.0,,no
2022-07-11,336,Fulton,84486,0.0,,no
2022-07-11,326,Fulton,12818,0.0,,no
2022-07-12,326,Fulton,12818,0.0,,no
2022-07-12,337,Fulton,189593,0.0,,no
2022-07-12,336,Fulton,84486,0.0,,no
2022-07-12,338,Fulton,190000,0.0,,no
2022-07-13,338,Fulton,190000,1557.30436,,yes
2022-07-13,326,Fulton,12818,0.0,,no
2022-07-13,336,Fulton,84486,0.0,,no
2022-07-13,337,Fulton,189593,0.0,,no
2022-07-18,338,Fulton,190000,5485.88924,,yes
2022-07-18,326,Fulton,12818,0.0,,no
2022-07-18,337,Fulton,189593,4217.00478,,yes
2022-07-18,336,Fulton,84486,0.0,,no
2022-07-19,337,Fulton,189593,0.0,,no
2022-07-19,336,Fulton,84486,0.0,,no
2022-07-19,326,Fulton,12818,0.0,,no
2022-07-20,337,Fulton,189593,0.0,,no
2022-07-20,338,Fulton,190000,2846.60772,,yes
2022-07-20,326,Fulton,12818,0.0,,no
2022-07-20,336,Fulton,84486,0.0,,no
2022-07-21,338,Fulton,190000,0.0,,no
2022-08-01,337,Fulton,189593,0.0,,no
2022-08-01,336,Fulton,84486,0.0,,no
2022-08-01,326,Fulton,12818,0.0,,no
2022-08-01,338,Fulton,190000,0.0,,no
2022-08-02,336,Fulton,84486,4288.92863,,yes
2022-08-02,337,Fulton,189593,6056.5764,,yes
2022-08-02,338,Fulton,190000,0.0,,no
2022-08-02,326,Fulton,12818,4521.23214,,yes
2022-08-03,336,Fulton,84486,2660.93716,,yes
2022-08-03,338,Fulton,190000,0.0,,no
2022-08-03,326,Fulton,12818,0.0,,no
2022-08-03,337,Fulton,189593,0.0,,no
2022-08-08,336,Fulton,84486,0.0,,no
2022-08-08,326,Fulton,12818,0.0,,no
2022-08-08,338,Fulton,190000,0.0,,no
2022-08-08,337,Fulton,189593,0.0,,no
2022-08-09,336,Fulton,84486,0.0,,no
2022-08-09,338,Fulton,190000,0.0,,no
2022-08-09,337,Fulton,189593,0.0,,no
2022-08-09,326,Fulton,12818,0.0,,no
2022-08-10,336,Fulton,84486,2497.7212,,yes
2022-08-10,337,Fulton,189593,0.0,,no
2022-08-10,326,Fulton,12818,0.0,,no
2022-08-10,338,Fulton,190000,0.0,,no
2022-08-15,337,Fulton,189593,4190.62184,,yes
2022-08-15,346,"Chattahoochee, Muscogee",278000,1767.63226,,yes
2022-08-15,338,Fulton,190000,0.0,,no
2022-08-15,336,Fulton,84486,2497.30728,,yes
2022-08-15,326,Fulton,12818,0.0,,no
2022-08-16,326,Fulton,12818,0.0,,no
2022-08-16,338,Fulton,190000,0.0,,no
2022-08-16,337,Fulton,189593,0.0,,no
2022-08-16,336,Fulton,84486,2191.61785,,yes
2022-08-17,326,Fulton,12818,0.0,,no
2022-08-17,338,Fulton,190000,3336.87498,,yes
2022-08-17,337,Fulton,189593,0.0,,no
2022-08-17,346,"Chattahoochee, Muscogee",278000,0.0,,no
2022-08-17,336,Fulton,84486,4769.36213,,yes
2022-08-19,346,"Chattahoochee, Muscogee",278000,3648.83567,,yes
2022-08-22,346,"Chattahoochee, Muscogee",278000,4721.18293,,yes
2022-08-22,337,Fulton,189593,3576.57936,,yes
2022-08-22,326,Fulton,12818,0.0,,no
2022-08-22,336,Fulton,84486,0.0,,no
2022-08-22,338,Fulton,190000,0.0,,no
2022-08-23,336,Fulton,84486,8204.65263,,yes
2022-08-23,338,Fulton,190000,0.0,,no
2022-08-23,326,Fulton,12818,0.0,,no
2022-08-23,337,Fulton,189593,2804.90288,,yes
2022-08-24,326,Fulton,12818,0.0,,no
2022-08-24,336,Fulton,84486,2718.75274,,yes
2022-08-24,337,Fulton,189593,0.0,,no
2022-08-24,338,Fulton,190000,0.0,,no
2022-08-24,346,"Chattahoochee, Muscogee",278000,2932.33077,,yes
2022-08-26,346,"Chattahoochee, Muscogee",278000,3066.52112,,yes
2022-08-29,338,Fulton,190000,2719.24799,,yes
2022-08-29,337,Fulton,189593,3498.19984,,yes
2022-08-29,326,Fulton,12818,0.0,,no
2022-08-29,336,Fulton,84486,0.0,,no
2022-08-29,346,"Chattahoochee, Muscogee",278000,3446.10771,,yes
2022-08-30,326,Fulton,12818,0.0,,no
2022-08-30,338,Fulton,190000,0.0,,no
2022-08-30,336,Fulton,84486,2573.91644,,yes
2022-08-30,337,Fulton,189593,0.0,,no
2022-08-31,326,Fulton,12818,0.0,,no
2022-08-31,346,"Chattahoochee, Muscogee",278000,0.0,,no
2022-08-31,337,Fulton,189593,13116.88773,,yes
2022-08-31,336,Fulton,84486,0.0,,no
2022-08-31,338,Fulton,190000,0.0,,no
2022-09-02,346,"Chattahoochee, Muscogee",278000,1613.22412,,yes
2022-09-05,337,Fulton,189593,0.0,,no
2022-09-05,326,Fulton,12818,0.0,,no
2022-09-05,336,Fulton,84486,3160.85779,,yes
2022-09-05,338,Fulton,190000,3309.96277,,yes
2022-09-06,337,Fulton,189593,0.0,,no
2022-09-06,336,Fulton,84486,0.0,,no
2022-09-06,326,Fulton,12818,0.0,,no
2022-09-06,338,Fulton,190000,5748.8999,,yes
2022-09-07,346,"Chattahoochee, Muscogee",278000,0.0,,no
2022-09-07,336,Fulton,84486,0.0,,no
2022-09-07,338,Fulton,190000,3115.3361,,yes
2022-09-07,326,Fulton,12818,0.0,,no
2022-09-07,337,Fulton,189593,0.0,,no
2022-09-09,346,"Chattahoochee, Muscogee",278000,0.0,,no
2022-09-12,336,Fulton,84486,6330.33532,,yes
2022-09-12,338,Fulton,190000,5983.02743,,yes
2022-09-12,337,Fulton,189593,0.0,,no
2022-09-12,326,Fulton,12818,0.0,,no
2022-09-12,346,"Chattahoochee, Muscogee",278000,0.0,,no
2022-09-13,336,Fulton,84486,1902.76885,,yes
2022-09-13,326,Fulton,12818,0.0,,no
2022-09-13,337,Fulton,189593,0.0,,no
2022-09-13,338,Fulton,190000,10704.72993,,yes
2022-09-14,337,Fulton,189593,0.0,,no
2022-09-14,346,"Chattahoochee, Muscogee",278000,0.0,,no
2022-09-14,338,Fulton,190000,5163.63882,,yes
2022-09-14,336,Fulton,84486,0.0,,no
2022-09-14,326,Fulton,12818,24222.25307,,yes
2022-09-16,346,"Chattahoochee, Muscogee",278000,0.0,,no
2022-09-19,346,"Chattahoochee, Muscogee",278000,4114.44602,,yes
2022-09-19,326,Fulton,12818,3982.79493,,yes
2022-09-19,336,Fulton,84486,0.0,,no
2022-09-19,338,Fulton,190000,5154.23025,,yes
2022-09-19,337,Fulton,189593,0.0,,no
2022-09-20,337,Fulton,189593,0.0,,no
2022-09-20,338,Fulton,190000,25411.14694,,yes
2022-09-20,336,Fulton,84486,5756.48414,,yes
2022-09-20,326,Fulton,12818,0.0,,no
2022-09-21,326,Fulton,12818,0.0,,no
2022-09-21,346,"Chattahoochee, Muscogee",278000,7403.1209,,yes
2022-09-21,336,Fulton,84486,17980.0045,,yes
2022-09-21,338,Fulton,190000,23781.39954,,yes
2022-09-21,337,Fulton,189593,7714.98861,,yes
2022-09-26,336,Fulton,84486,9499.73428,,yes
