rne_iso_code,year,month,month_start,cases,population
MX-AGU,2002,12,2002-12-01,0,1031690.125
MX-AGU,2003,1,2003-01-01,0,1051478.125
MX-AGU,2003,2,2003-02-01,0,1051478.125
MX-AGU,2003,3,2003-03-01,0,1051478.125
MX-AGU,2003,4,2003-04-01,0,1051478.125
MX-AGU,2003,5,2003-05-01,0,1051478.125
MX-AGU,2003,6,2003-06-01,0,1051478.125
MX-AGU,2003,7,2003-07-01,0,1051478.125
MX-AGU,2003,8,2003-08-01,0,1051478.125
MX-AGU,2003,9,2003-09-01,0,1051478.125
MX-AGU,2003,10,2003-10-01,0,1051478.125
MX-AGU,2003,11,2003-11-01,0,1051478.125
MX-AGU,2003,12,2003-12-01,0,1051478.125
MX-AGU,2004,1,2004-01-01,0,1071266.125
MX-AGU,2004,2,2004-02-01,0,1071266.125
MX-AGU,2004,3,2004-03-01,0,1071266.125
MX-AGU,2004,4,2004-04-01,0,1071266.125
MX-AGU,2004,5,2004-05-01,0,1071266.125
MX-AGU,2004,6,2004-06-01,0,1071266.125
MX-AGU,2004,7,2004-07-01,0,1071266.125
MX-AGU,2004,8,2004-08-01,0,1071266.125
MX-AGU,2004,9,2004-09-01,0,1071266.125
MX-AGU,2004,10,2004-10-01,0,1071266.125
MX-AGU,2004,11,2004-11-01,0,1071266.125
MX-AGU,2004,12,2004-12-01,0,1071266.125
MX-AGU,2005,1,2005-01-01,0,1091054.125
MX-AGU,2005,2,2005-02-01,0,1091054.125
MX-AGU,2005,3,2005-03-01,0,1091054.125
MX-AGU,2005,4,2005-04-01,0,1091054.125
MX-AGU,2005,5,2005-05-01,0,1091054.125
MX-AGU,2005,6,2005-06-01,0,1091054.125
MX-AGU,2005,7,2005-07-01,0,1091054.125
MX-AGU,2005,8,2005-08-01,0,1091054.125
MX-AGU,2005,9,2005-09-01,0,1091054.125
MX-AGU,2005,10,2005-10-01,0,1091054.125
MX-AGU,2005,11,2005-11-01,0,1091054.125
MX-AGU,2005,12,2005-12-01,0,1091054.125
MX-AGU,2006,1,2006-01-01,0,1111014.775
MX-AGU,2006,2,2006-02-01,0,1111014.775
MX-AGU,2006,3,2006-03-01,0,1111014.775
MX-AGU,2006,4,2006-04-01,0,1111014.775
MX-AGU,2006,5,2006-05-01,0,1111014.775
MX-AGU,2006,6,2006-06-01,0,1111014.775
MX-AGU,2006,7,2006-07-01,0,1111014.775
MX-AGU,2006,8,2006-08-01,0,1111014.775
MX-AGU,2006,9,2006-09-01,0,1111014.775
MX-AGU,2006,10,2006-10-01,0,1111014.775
MX-AGU,2006,11,2006-11-01,0,1111014.775
MX-AGU,2006,12,2006-12-01,0,1111014.775
MX-AGU,2007,1,2007-01-01,0,1130975.425
MX-AGU,2007,2,2007-02-01,0,1130975.425
MX-AGU,2007,3,2007-03-01,0,1130975.425
MX-AGU,2007,4,2007-04-01,0,1130975.425
MX-AGU,2007,5,2007-05-01,0,1130975.425
MX-AGU,2007,6,2007-06-01,0,1130975.425
MX-AGU,2007,7,2007-07-01,0,1130975.425
MX-AGU,2007,8,2007-08-01,0,1130975.425
MX-AGU,2007,9,2007-09-01,0,1130975.425
MX-AGU,2007,10,2007-10-01,0,1130975.425
MX-AGU,2007,11,2007-11-01,0,1130975.425
MX-AGU,2007,12,2007-12-01,0,1130975.425
MX-AGU,2013,1,2013-01-01,0,1247867.65
MX-AGU,2013,2,2013-02-01,0,1247867.65
MX-AGU,2013,3,2013-03-01,0,1247867.65
MX-AGU,2013,4,2013-04-01,0,1247867.65
MX-AGU,2013,5,2013-05-01,0,1247867.65
MX-AGU,2013,6,2013-06-01,0,1247867.65
MX-AGU,2013,7,2013-07-01,1,1247867.65
MX-AGU,2013,8,2013-08-01,4,1247867.65
MX-AGU,2013,9,2013-09-01,0,1247867.65
MX-AGU,2013,10,2013-10-01,0,1247867.65
MX-AGU,2013,11,2013-11-01,0,1247867.65
MX-AGU,2013,12,2013-12-01,0,1247867.65
MX-AGU,2017,1,2017-01-01,2,1307558.2
MX-AGU,2017,4,2017-04-01,1,1307558.2
MX-AGU,2017,5,2017-05-01,3,1307558.2
MX-AGU,2017,6,2017-06-01,1,1307558.2
MX-AGU,2017,8,2017-08-01,4,1307558.2
MX-AGU,2017,9,2017-09-01,3,1307558.2
MX-AGU,2017,10,2017-10-01,1,1307558.2
MX-AGU,2017,11,2017-11-01,3,1307558.2
MX-AGU,2018,3,2018-03-01,1,1318400.05
MX-AGU,2019,3,2019-03-01,2,1329241.9
MX-AGU,2019,5,2019-05-01,1,1329241.9
MX-AGU,2019,7,2019-07-01,1,1329241.9
MX-AGU,2019,8,2019-08-01,1,1329241.9
MX-AGU,2019,9,2019-09-01,6,1329241.9
MX-AGU,2019,10,2019-10-01,24,1329241.9
MX-AGU,2019,11,2019-11-01,12,1329241.9
MX-AGU,2019,12,2019-12-01,1,1329241.9
MX-AGU,2020,2,2020-02-01,1,1340083.75
MX-AGU,2020,5,2020-05-01,4,1340083.75
MX-AGU,2020,7,2020-07-01,2,1340083.75
MX-AGU,2020,8,2020-08-01,1,1340083.75
MX-AGU,2020,9,2020-09-01,1,1340083.75
MX-AGU,2020,11,2020-11-01,1,1340083.75
MX-AGU,2021,4,2021-04-01,1,1353829.875
MX-AGU,2021,5,2021-05-01,1,1353829.875
MX-AGU,2021,6,2021-06-01,1,1353829.875
MX-AGU,2021,7,2021-07-01,1,1353829.875
MX-AGU,2021,8,2021-08-01,0,1353829.875
MX-AGU,2021,9,2021-09-01,2,1353829.875
MX-AGU,2021,10,2021-10-01,0,1353829.875
MX-AGU,2022,4,2022-04-01,1,1367576
MX-AGU,2022,5,2022-05-01,1,1367576
MX-AGU,2022,6,2022-06-01,2,1367576
MX-BCN,2002,12,2002-12-01,0,2511442.85
MX-BCN,2003,1,2003-01-01,0,2557325.65
MX-BCN,2003,2,2003-02-01,0,2557325.65
MX-BCN,2003,3,2003-03-01,0,2557325.65
MX-BCN,2003,4,2003-04-01,0,2557325.65
MX-BCN,2003,5,2003-05-01,0,2557325.65
MX-BCN,2003,6,2003-06-01,0,2557325.65
MX-BCN,2003,7,2003-07-01,0,2557325.65
MX-BCN,2003,8,2003-08-01,0,2557325.65
MX-BCN,2003,9,2003-09-01,0,2557325.65
MX-BCN,2003,10,2003-10-01,0,2557325.65
MX-BCN,2003,11,2003-11-01,0,2557325.65
MX-BCN,2003,12,2003-12-01,0,2557325.65
MX-BCN,2004,1,2004-01-01,0,2603208.45
MX-BCN,2004,2,2004-02-01,0,2603208.45
MX-BCN,2004,3,2004-03-01,0,2603208.45
MX-BCN,2004,4,2004-04-01,0,2603208.45
MX-BCN,2004,5,2004-05-01,0,2603208.45
MX-BCN,2004,6,2004-06-01,0,2603208.45
MX-BCN,2004,7,2004-07-01,0,2603208.45
MX-BCN,2004,8,2004-08-01,0,2603208.45
MX-BCN,2004,9,2004-09-01,0,2603208.45
MX-BCN,2004,10,2004-10-01,0,2603208.45
MX-BCN,2004,11,2004-11-01,0,2603208.45
MX-BCN,2004,12,2004-12-01,0,2603208.45
MX-BCN,2005,1,2005-01-01,0,2649091.25
MX-BCN,2005,2,2005-02-01,0,2649091.25
