iso3,year,month,monthly_cases,monthly_cases_per_100000_pop,population,month_start,mean_temp_celsius,total_precip_mm,gt_Aedes_aegypti,gt_dengue,gt_epidemic,gt_fumigation,gt_insecticide,gt_mosquito,gt_public_health,gt_source_management,gt_vector,mean_temp_celsius_lag1,mean_temp_celsius_lag2,mean_temp_celsius_lag3,mean_temp_celsius_lag4,mean_temp_celsius_lag5,mean_temp_celsius_lag6,total_precip_mm_lag1,total_precip_mm_lag2,total_precip_mm_lag3,total_precip_mm_lag4,total_precip_mm_lag5,total_precip_mm_lag6,monthly_cases_lag1,monthly_cases_lag12,monthly_cases_lag24,gt_Aedes_aegypti_lag1,gt_Aedes_aegypti_lag2,gt_Aedes_aegypti_lag3,gt_dengue_lag1,gt_dengue_lag2,gt_dengue_lag3,gt_epidemic_lag1,gt_epidemic_lag2,gt_epidemic_lag3,gt_fumigation_lag1,gt_fumigation_lag2,gt_fumigation_lag3,gt_insecticide_lag1,gt_insecticide_lag2,gt_insecticide_lag3,gt_mosquito_lag1,gt_mosquito_lag2,gt_mosquito_lag3,gt_public_health_lag1,gt_public_health_lag2,gt_public_health_lag3,gt_source_management_lag1,gt_source_management_lag2,gt_source_management_lag3,gt_vector_lag1,gt_vector_lag2,gt_vector_lag3
MEX,2004,1,31,0,102852612.8,2004-01-01,14.590947790664993,15.293159006537884,0,6,5,0,53,20,60,0,66,14.763677869797007,18.607174542898427,21.429170875486797,23.446089764540787,24.793124228263476,24.673424845240728,3.95354812150691,10.67151157334558,32.3052385255894,57.11015789004812,39.426371038364685,38.296390290940664,450,40,709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,2004,2,50,0,102852612.8,2004-02-01,15.209554860141576,6.412878873706474,0,9,5,0,64,0,74,0,93,14.590947790664993,14.763677869797007,18.607174542898427,21.429170875486797,23.446089764540787,24.793124228263476,15.293159006537884,3.95354812150691,10.67151157334558,32.3052385255894,57.11015789004812,39.426371038364685,31,111,583,0,NA,NA,6,NA,NA,5,NA,NA,0,NA,NA,53,NA,NA,20,NA,NA,60,NA,NA,0,NA,NA,66,NA,NA
MEX,2004,3,51,0,102852612.8,2004-03-01,19.59714131631555,12.95108492271093,0,10,7,0,95,26,92,0,67,15.209554860141576,14.590947790664993,14.763677869797007,18.607174542898427,21.429170875486797,23.446089764540787,6.412878873706474,15.293159006537884,3.95354812150691,10.67151157334558,32.3052385255894,57.11015789004812,50,112,490,0,0,NA,9,6,NA,5,5,NA,0,0,NA,64,53,NA,0,20,NA,74,60,NA,0,0,NA,93,66,NA
MEX,2004,4,58,0,102852612.8,2004-04-01,20.686765323287847,11.533380588308798,0,9,8,0,96,24,67,0,50,19.59714131631555,15.209554860141576,14.590947790664993,14.763677869797007,18.607174542898427,21.429170875486797,12.95108492271093,6.412878873706474,15.293159006537884,3.95354812150691,10.67151157334558,32.3052385255894,51,53,377,0,0,0,10,9,6,7,5,5,0,0,0,95,64,53,26,0,20,92,74,60,0,0,0,67,93,66
MEX,2004,5,110,0,102852612.8,2004-05-01,23.615713819794493,17.54112069208251,0,19,9,45,91,29,84,0,28,20.686765323287847,19.59714131631555,15.209554860141576,14.590947790664993,14.763677869797007,18.607174542898427,11.533380588308798,12.95108492271093,6.412878873706474,15.293159006537884,3.95354812150691,10.67151157334558,58,56,420,0,0,0,9,10,9,8,7,5,0,0,0,96,95,64,24,26,0,67,92,74,0,0,0,50,67,93
MEX,2004,6,141,0,102852612.8,2004-06-01,24.580786008279095,34.3749861228221,0,14,5,0,66,29,74,0,57,23.615713819794493,20.686765323287847,19.59714131631555,15.209554860141576,14.590947790664993,14.763677869797007,17.54112069208251,11.533380588308798,12.95108492271093,6.412878873706474,15.293159006537884,3.95354812150691,110,114,593,0,0,0,19,9,10,9,8,7,45,0,0,91,96,95,29,24,26,84,67,92,0,0,0,28,50,67
MEX,2004,7,256,0,102852612.8,2004-07-01,24.88143800424369,34.800033561464296,0,9,0,67,45,24,52,0,34,24.580786008279095,23.615713819794493,20.686765323287847,19.59714131631555,15.209554860141576,14.590947790664993,34.3749861228221,17.54112069208251,11.533380588308798,12.95108492271093,6.412878873706474,15.293159006537884,141,291,790,0,0,0,14,19,9,5,9,8,0,45,0,66,91,96,29,29,24,74,84,67,0,0,0,57,28,50
MEX,2004,8,2334,2,102852612.8,2004-08-01,24.60935094592427,34.64910271079777,0,13,4,36,39,27,79,0,91,24.88143800424369,24.580786008279095,23.615713819794493,20.686765323287847,19.59714131631555,15.209554860141576,34.800033561464296,34.3749861228221,17.54112069208251,11.533380588308798,12.95108492271093,6.412878873706474,256,602,972,0,0,0,9,14,19,0,5,9,67,0,45,45,66,91,24,29,29,52,74,84,0,0,0,34,57,28
MEX,2004,9,1423,1,102852612.8,2004-09-01,23.122804187246448,45.65848604665336,0,22,6,39,66,28,100,0,100,24.60935094592427,24.88143800424369,24.580786008279095,23.615713819794493,20.686765323287847,19.59714131631555,34.64910271079777,34.800033561464296,34.3749861228221,17.54112069208251,11.533380588308798,12.95108492271093,2334,1046,1190,0,0,0,13,9,14,4,0,5,36,67,0,39,45,66,27,24,29,79,52,74,0,0,0,91,34,57
MEX,2004,10,1404,1,102852612.8,2004-10-01,21.599097432649852,25.50470686926593,0,17,5,35,96,31,85,0,70,23.122804187246448,24.60935094592427,24.88143800424369,24.580786008279095,23.615713819794493,20.686765323287847,45.65848604665336,34.64910271079777,34.800033561464296,34.3749861228221,17.54112069208251,11.533380588308798,1423,1243,1218,0,0,0,22,13,9,6,4,0,39,36,67,66,39,45,28,27,24,100,79,52,0,0,0,100,91,34
MEX,2004,11,1582,2,102852612.8,2004-11-01,17.0764566943099,11.60376538856935,0,17,6,44,69,30,70,0,60,21.599097432649852,23.122804187246448,24.60935094592427,24.88143800424369,24.580786008279095,23.615713819794493,25.50470686926593,45.65848604665336,34.64910271079777,34.800033561464296,34.3749861228221,17.54112069208251,1404,2116,799,0,0,0,17,22,13,5,6,4,35,39,36,96,66,39,31,28,27,85,100,79,0,0,0,70,100,91
MEX,2004,12,543,1,102852612.8,2004-12-01,14.698789292757123,7.7674255132333965,0,8,0,0,29,22,51,0,33,17.0764566943099,21.599097432649852,23.122804187246448,24.60935094592427,24.88143800424369,24.580786008279095,11.60376538856935,25.50470686926593,45.65848604665336,34.64910271079777,34.800033561464296,34.3749861228221,1582,450,274,0,0,0,17,17,22,6,5,6,44,35,39,69,96,66,30,31,28,70,85,100,0,0,0,60,70,100
MEX,2005,1,96,0,104347312,2005-01-01,15.793917034728292,8.91574749568077,0,8,5,0,30,17,57,0,64,14.698789292757123,17.0764566943099,21.599097432649852,23.122804187246448,24.60935094592427,24.88143800424369,7.7674255132333965,11.60376538856935,25.50470686926593,45.65848604665336,34.64910271079777,34.800033561464296,543,31,40,0,0,0,8,17,17,0,6,5,0,44,35,29,69,96,22,30,31,51,70,85,0,0,0,33,60,70
MEX,2005,2,121,0,104347312,2005-02-01,16.233316858937748,14.635529279076273,0,5,6,34,50,15,98,0,75,15.793917034728292,14.698789292757123,17.0764566943099,21.599097432649852,23.122804187246448,24.60935094592427,8.91574749568077,7.7674255132333965,11.60376538856935,25.50470686926593,45.65848604665336,34.64910271079777,96,50,111,0,0,0,8,8,17,5,0,6,0,0,44,30,29,69,17,22,30,57,51,70,0,0,0,64,33,60
MEX,2005,3,86,0,104347312,2005-03-01,18.319882189110032,7.222484199169141,0,9,5,28,45,20,58,0,61,16.233316858937748,15.793917034728292,14.698789292757123,17.0764566943099,21.599097432649852,23.122804187246448,14.635529279076273,8.91574749568077,7.7674255132333965,11.60376538856935,25.50470686926593,45.65848604665336,121,51,112,0,0,0,5,8,8,6,5,0,34,0,0,50,30,29,15,17,22,98,57,51,0,0,0,75,64,33
MEX,2005,4,102,0,104347312,2005-04-01,21.720307533143444,4.733489950722181,0,10,5,45,100,22,70,0,39,18.319882189110032,16.233316858937748,15.793917034728292,14.698789292757123,17.0764566943099,21.599097432649852,7.222484199169141,14.635529279076273,8.91574749568077,7.7674255132333965,11.60376538856935,25.50470686926593,86,58,53,0,0,0,9,5,8,5,6,5,28,34,0,45,50,30,20,15,17,58,98,57,0,0,0,61,75,64
MEX,2005,5,337,0,104347312,2005-05-01,23.658421914364148,13.91162783891377,0,12,4,39,67,28,72,0,41,21.720307533143444,18.319882189110032,16.233316858937748,15.793917034728292,14.698789292757123,17.0764566943099,4.733489950722181,7.222484199169141,14.635529279076273,8.91574749568077,7.7674255132333965,11.60376538856935,102,110,56,0,0,0,10,9,5,5,5,6,45,28,34,100,45,50,22,20,15,70,58,98,0,0,0,39,61,75
MEX,2005,6,571,1,104347312,2005-06-01,25.808595598863228,26.043472699573183,0,11,3,56,55,25,51,0,44,23.658421914364148,21.720307533143444,18.319882189110032,16.233316858937748,15.793917034728292,14.698789292757123,13.91162783891377,4.733489950722181,7.222484199169141,14.635529279076273,8.91574749568077,7.7674255132333965,337,141,114,0,0,0,12,10,9,4,5,5,39,45,28,67,100,45,28,22,20,72,70,58,0,0,0,41,39,61
