date,geo,keyword,hits,topic_label,query_input,query_type,mid,topic_title,topic_type,fetched_keyword
2004-01-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-02-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-03-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-04-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-05-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-06-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-07-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-08-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-09-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-10-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-11-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2004-12-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-01-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-02-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-03-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-04-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-05-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-06-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-07-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-08-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-09-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-10-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-11-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2005-12-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
2006-01-01,MX,Aedes aegypti,0,Aedes_aegypti,Aedes aegypti,topic,/g/11g8p5gswz,Aedes aegypti,Topic+term_fallback,Aedes aegypti
