date,geo,keyword,hits,topic_label,query_input,query_type,mid,topic_title,topic_type,fetched_keyword
2015-01-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-02-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-03-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-04-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-05-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-06-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-07-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-08-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-09-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-10-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-11-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2015-12-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-01-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-02-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-03-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-04-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-05-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-06-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-07-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-08-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-09-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-10-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-11-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2016-12-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-01-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-02-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-03-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-04-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-05-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-06-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-07-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-08-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-09-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-10-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-11-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2017-12-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2018-01-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2018-02-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2018-03-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2018-04-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
